suj,cond,rt,match_hit,match_miss,nomatch_hit,nomatch_miss,correct,incorrect
sub29,2back,383,1,0,1,0,1,0
sub30,0back,417,1,0,1,0,1,0
sub30,1back,500,1,0,0.972222222222222,0.0277777777777778,0.978260869565217,0.0217391304347826
sub30,2back,442,0.939393939393939,0.0606060606060606,1,0,0.985915492957746,0.0140845070422535
sub31,0back,435,1,0,1,0,1,0
sub31,1back,509,0.785714285714286,0.214285714285714,1,0,0.961038961038961,0.038961038961039
sub31,2back,413,0.78125,0.21875,0.985401459854015,0.0145985401459854,0.946745562130177,0.0532544378698225
sub32,0back,467,0.888888888888889,0.111111111111111,1,0,0.979381443298969,0.0206185567010309
sub32,1back,439.5,0.952380952380952,0.0476190476190476,1,0,0.990384615384615,0.00961538461538462
sub32,2back,575,1,0,0.993865030674847,0.00613496932515337,0.995098039215686,0.00490196078431373
sub33,0back,484,1,0,1,0,1,0
sub33,1back,535.5,1,0,1,0,1,0
sub33,2back,595.5,0.976190476190476,0.0238095238095238,0.99390243902439,0.00609756097560976,0.990291262135922,0.00970873786407767
sub35,0back,517.5,1,0,1,0,1,0
sub35,1back,693,0.947368421052632,0.0526315789473684,1,0,0.98876404494382,0.0112359550561798
sub35,2back,766,0.972222222222222,0.0277777777777778,0.984496124031008,0.0155038759689922,0.981818181818182,0.0181818181818182
sub36,0back,470,1,0,1,0,1,0
sub36,1back,667,1,0,1,0,1,0
sub36,2back,553,0.973684210526316,0.0263157894736842,0.985401459854015,0.0145985401459854,0.982857142857143,0.0171428571428571
sub38,0back,521,0.95,0.05,1,0,0.989795918367347,0.0102040816326531
sub38,1back,666,0.666666666666667,0.333333333333333,0.988095238095238,0.0119047619047619,0.923809523809524,0.0761904761904762
sub38,2back,651,0.780487804878049,0.219512195121951,1,0,0.954773869346734,0.0452261306532663
sub39,0back,572,0.80952380952381,0.19047619047619,1,0,0.961165048543689,0.0388349514563107
sub39,1back,681,0.833333333333333,0.166666666666667,1,0,0.969072164948454,0.0309278350515464
sub39,2back,706,0.857142857142857,0.142857142857143,0.992957746478873,0.00704225352112676,0.966101694915254,0.0338983050847458
sub40,0back,409,1,0,0.987654320987654,0.0123456790123457,0.99009900990099,0.0099009900990099
sub40,1back,471,0.947368421052632,0.0526315789473684,0.986666666666667,0.0133333333333333,0.978723404255319,0.0212765957446809
sub40,2back,565,0.926829268292683,0.0731707317073171,0.993506493506494,0.00649350649350649,0.979487179487179,0.0205128205128205
sub41,0back,536,1,0,0.985507246376812,0.0144927536231884,0.988505747126437,0.0114942528735632
sub41,1back,536.5,0.952380952380952,0.0476190476190476,1,0,0.990476190476191,0.00952380952380952
sub41,2back,575,0.951219512195122,0.0487804878048781,1,0,0.990291262135922,0.00970873786407767
sub42,0back,598.5,1,0,1,0,1,0
sub42,1back,773.5,0.80952380952381,0.19047619047619,0.988095238095238,0.0119047619047619,0.952380952380952,0.0476190476190476
sub42,2back,736,0.85,0.15,1,0,0.969543147208122,0.0304568527918782
sub43,0back,446.5,1,0,1,0,1,0
sub43,1back,547,1,0,1,0,1,0
sub43,2back,511.5,0.870967741935484,0.129032258064516,0.992248062015504,0.00775193798449612,0.96875,0.03125
sub44,0back,550,1,0,1,0,1,0
sub44,1back,652,1,0,0.987951807228916,0.0120481927710843,0.990384615384615,0.00961538461538462
sub44,2back,754.5,0.974358974358974,0.0256410256410256,1,0,0.994974874371859,0.0050251256281407
sub46,0back,444,1,0,1,0,1,0
sub46,1back,537,0.842105263157895,0.157894736842105,1,0,0.97029702970297,0.0297029702970297
sub46,2back,472,0.974358974358974,0.0256410256410256,0.993865030674847,0.00613496932515337,0.99009900990099,0.0099009900990099
sub47,0back,511.5,1,0,1,0,1,0
