sub,eyes,roi,level,apeak,bpeak
sub028,closed,visual,source,9,22
sub028,open,auditory,source,7,21
sub028,closed,auditory,source,7,21
sub028,open,somato,sensor,8,20
sub028,open,visual,sensor,10,21
sub028,open,auditory,sensor,7,20
sub028,closed,somato,sensor,7,20
sub028,closed,visual,sensor,9,19
sub028,closed,auditory,sensor,7,20
sub029,open,somato,source,12,23
sub029,closed,somato,source,12,21
sub029,open,visual,source,11,23
sub029,closed,visual,source,11,20
sub029,open,auditory,source,8,19
sub029,closed,auditory,source,10,22
sub029,open,somato,sensor,12,20
sub029,open,visual,sensor,11,21
sub029,open,auditory,sensor,7,22
sub029,closed,somato,sensor,7,20
sub029,closed,visual,sensor,11,21
sub029,closed,auditory,sensor,7,21
sub030,open,somato,source,9,22
sub030,closed,somato,source,11,22
sub030,open,visual,source,11,18
sub030,closed,visual,source,10,21
sub030,open,auditory,source,7,17
sub030,closed,auditory,source,7,17
sub030,open,somato,sensor,7,20
sub030,open,visual,sensor,10,20
sub030,open,auditory,sensor,7,18
sub030,closed,somato,sensor,11,22
sub030,closed,visual,sensor,11,21
sub030,closed,auditory,sensor,11,21
sub031,open,somato,source,9,17
sub031,closed,somato,source,8,18
sub031,open,visual,source,9,20
sub031,closed,visual,source,9,19
sub031,open,auditory,source,8,18
sub031,closed,auditory,source,9,18
sub031,open,somato,sensor,9,19
sub031,open,visual,sensor,9,19
sub031,open,auditory,sensor,9,19
sub031,closed,somato,sensor,9,19
sub031,closed,visual,sensor,10,19
sub031,closed,auditory,sensor,9,19
sub032,open,somato,source,10,21
sub032,closed,somato,source,11,20
sub032,open,visual,source,10,18
sub032,closed,visual,source,10,20
sub032,open,auditory,source,7,20
sub032,closed,auditory,source,9,17
sub032,open,somato,sensor,10,20
sub032,open,visual,sensor,10,20
sub032,open,auditory,sensor,10,18
sub032,closed,somato,sensor,10,20
sub032,closed,visual,sensor,10,20
sub032,closed,auditory,sensor,10,17
sub033,open,somato,source,11,21
sub033,closed,somato,source,11,22
sub033,open,visual,source,10,21
sub033,closed,visual,source,10,20
sub033,open,auditory,source,9,20
sub033,closed,auditory,source,9,24
sub033,open,somato,sensor,11,22
sub033,open,visual,sensor,10,16
sub033,open,auditory,sensor,10,20
sub033,closed,somato,sensor,11,21
sub033,closed,visual,sensor,10,20
sub033,closed,auditory,sensor,10,22
sub034,open,somato,source,10,18
sub034,closed,somato,source,10,19
sub034,open,visual,source,11,18
sub034,closed,visual,source,9,18
sub034,open,auditory,source,10,17
sub034,closed,auditory,source,11,16
sub034,open,somato,sensor,11,22
sub034,open,visual,sensor,11,20
sub034,open,auditory,sensor,9,17
sub034,closed,somato,sensor,9,20
sub034,closed,visual,sensor,9,19
sub034,closed,auditory,sensor,9,18
sub035,open,somato,source,8,16
sub035,closed,somato,source,8,24
sub035,open,visual,source,9,18
sub035,closed,visual,source,9,17
sub035,open,auditory,source,8,22
sub035,closed,auditory,source,8,23
sub035,open,somato,sensor,8,16
sub035,open,visual,sensor,9,18
sub035,open,auditory,sensor,8,16
sub035,closed,somato,sensor,8,16
sub035,closed,visual,sensor,9,18
sub035,closed,auditory,sensor,8,16
sub036,open,somato,source,12,23
sub036,closed,somato,source,12,21
sub036,open,visual,source,10,19
sub036,closed,visual,source,10,19
sub036,open,auditory,source,10,20
sub036,closed,auditory,source,10,24
sub036,open,somato,sensor,10,19
sub036,open,visual,sensor,10,20
sub036,open,auditory,sensor,10,18
sub036,closed,somato,sensor,10,19
sub036,closed,visual,sensor,10,19
sub036,closed,auditory,sensor,9,18
sub037,open,somato,source,9,19
sub037,closed,somato,source,9,18
sub037,open,visual,source,10,20
sub037,closed,visual,source,10,20
sub037,open,auditory,source,8,22
sub037,closed,auditory,source,9,18
sub037,open,somato,sensor,9,19
sub037,open,visual,sensor,10,19
sub037,open,auditory,sensor,9,18
sub037,closed,somato,sensor,9,20
sub037,closed,visual,sensor,10,20
sub037,closed,auditory,sensor,9,18
sub039,open,somato,source,13,26
sub039,closed,somato,source,13,27
sub039,open,visual,source,10,21
sub039,closed,visual,source,10,20
sub039,open,auditory,source,10,18
sub039,closed,auditory,source,10,20
sub039,open,somato,sensor,10,20
sub039,open,visual,sensor,10,21
sub039,open,auditory,sensor,10,20
sub039,closed,somato,sensor,10,20
sub039,closed,visual,sensor,10,20
sub039,closed,auditory,sensor,10,20
