sub,eye,measure,window,compare,cond,value
sub006,closed,somato-visual balance,500pre,accuracy_e,correct_e,0.099
sub006,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,0.099
sub006,closed,somato-visual balance,500pre,rt,fast,0.099
sub006,closed,somato-visual balance,500pre,rt,slow,0.099
sub007,open,laterilsation index,500pre,accuracy_e,correct_e,0.065
sub007,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.046
sub007,open,laterilsation index,500pre,rt,fast,0.053
sub007,open,laterilsation index,500pre,rt,slow,0.008
sub007,open,visual power,500pre,accuracy_e,correct_e,0.008
sub007,open,visual power,500pre,accuracy_e,incorrect_e,0.008
sub007,open,visual power,500pre,rt,fast,0.008
sub007,open,visual power,500pre,rt,slow,0.008
sub007,open,somato-visual balance,500pre,accuracy_e,correct_e,0.008
sub007,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.008
sub007,open,somato-visual balance,500pre,rt,fast,0.008
sub007,open,somato-visual balance,500pre,rt,slow,0.008
sub007,closed,laterilsation index,500pre,accuracy_e,correct_e,-0.015
sub007,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.052
sub007,closed,laterilsation index,500pre,rt,fast,0.063
sub007,closed,laterilsation index,500pre,rt,slow,-0.022
sub007,closed,visual power,500pre,accuracy_e,correct_e,-0.022
sub007,closed,visual power,500pre,accuracy_e,incorrect_e,-0.022
sub007,closed,visual power,500pre,rt,fast,-0.022
sub007,closed,visual power,500pre,rt,slow,-0.022
sub007,closed,somato-visual balance,500pre,accuracy_e,correct_e,-0.022
sub007,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,-0.022
sub007,closed,somato-visual balance,500pre,rt,fast,-0.022
sub007,closed,somato-visual balance,500pre,rt,slow,-0.022
sub008,open,laterilsation index,500pre,accuracy_e,correct_e,-0.026
sub008,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.051
sub008,open,laterilsation index,500pre,rt,fast,0.01
sub008,open,laterilsation index,500pre,rt,slow,-0.014
sub008,open,visual power,500pre,accuracy_e,correct_e,-0.014
sub008,open,visual power,500pre,accuracy_e,incorrect_e,-0.014
sub008,open,visual power,500pre,rt,fast,-0.014
sub008,open,visual power,500pre,rt,slow,-0.014
sub008,open,somato-visual balance,500pre,accuracy_e,correct_e,-0.014
sub008,open,somato-visual balance,500pre,accuracy_e,incorrect_e,-0.014
sub008,open,somato-visual balance,500pre,rt,fast,-0.014
sub008,open,somato-visual balance,500pre,rt,slow,-0.014
sub008,closed,laterilsation index,500pre,accuracy_e,correct_e,-0.02
sub008,closed,laterilsation index,500pre,accuracy_e,incorrect_e,-0.057
sub008,closed,laterilsation index,500pre,rt,fast,0.024
sub008,closed,laterilsation index,500pre,rt,slow,-0.011
sub008,closed,visual power,500pre,accuracy_e,correct_e,-0.011
sub008,closed,visual power,500pre,accuracy_e,incorrect_e,-0.011
sub008,closed,visual power,500pre,rt,fast,-0.011
sub008,closed,visual power,500pre,rt,slow,-0.011
sub008,closed,somato-visual balance,500pre,accuracy_e,correct_e,-0.011
sub008,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,-0.011
sub008,closed,somato-visual balance,500pre,rt,fast,-0.011
sub008,closed,somato-visual balance,500pre,rt,slow,-0.011
sub009,open,laterilsation index,500pre,accuracy_e,correct_e,0.026
sub009,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.092
sub009,open,laterilsation index,500pre,rt,fast,0.066
sub009,open,laterilsation index,500pre,rt,slow,0.026
sub009,open,visual power,500pre,accuracy_e,correct_e,0.026
sub009,open,visual power,500pre,accuracy_e,incorrect_e,0.026
sub009,open,visual power,500pre,rt,fast,0.026
sub009,open,visual power,500pre,rt,slow,0.026
sub009,open,somato-visual balance,500pre,accuracy_e,correct_e,0.026
sub009,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.026
sub009,open,somato-visual balance,500pre,rt,fast,0.026
sub009,open,somato-visual balance,500pre,rt,slow,0.026
sub009,closed,laterilsation index,500pre,accuracy_e,correct_e,0.007
sub009,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.068
sub009,closed,laterilsation index,500pre,rt,fast,0.05
sub009,closed,laterilsation index,500pre,rt,slow,0.032
sub009,closed,visual power,500pre,accuracy_e,correct_e,0.032
sub009,closed,visual power,500pre,accuracy_e,incorrect_e,0.032
sub009,closed,visual power,500pre,rt,fast,0.032
sub009,closed,visual power,500pre,rt,slow,0.032
sub009,closed,somato-visual balance,500pre,accuracy_e,correct_e,0.032
sub009,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,0.032
sub009,closed,somato-visual balance,500pre,rt,fast,0.032
sub009,closed,somato-visual balance,500pre,rt,slow,0.032
sub010,open,laterilsation index,500pre,accuracy_e,correct_e,0.089
sub010,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.09
sub010,open,laterilsation index,500pre,rt,fast,0.099
sub010,open,laterilsation index,500pre,rt,slow,0.121
sub010,open,visual power,500pre,accuracy_e,correct_e,0.121
sub010,open,visual power,500pre,accuracy_e,incorrect_e,0.121
sub010,open,visual power,500pre,rt,fast,0.121
sub010,open,visual power,500pre,rt,slow,0.121
sub010,open,somato-visual balance,500pre,accuracy_e,correct_e,0.121
sub010,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.121
sub010,open,somato-visual balance,500pre,rt,fast,0.121
sub010,open,somato-visual balance,500pre,rt,slow,0.121
sub010,closed,laterilsation index,500pre,accuracy_e,correct_e,0.149
sub010,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.14
sub010,closed,laterilsation index,500pre,rt,fast,0.198
sub010,closed,laterilsation index,500pre,rt,slow,0.077
sub010,closed,visual power,500pre,accuracy_e,correct_e,0.077
sub010,closed,visual power,500pre,accuracy_e,incorrect_e,0.077
sub010,closed,visual power,500pre,rt,fast,0.077
sub010,closed,visual power,500pre,rt,slow,0.077
sub010,closed,somato-visual balance,500pre,accuracy_e,correct_e,0.077
sub010,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,0.077
sub010,closed,somato-visual balance,500pre,rt,fast,0.077
sub010,closed,somato-visual balance,500pre,rt,slow,0.077
sub011,open,laterilsation index,500pre,accuracy_e,correct_e,0.042
sub011,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.089
sub011,open,laterilsation index,500pre,rt,fast,0
sub011,open,laterilsation index,500pre,rt,slow,0.038
sub011,open,visual power,500pre,accuracy_e,correct_e,0.038
sub011,open,visual power,500pre,accuracy_e,incorrect_e,0.038
sub011,open,visual power,500pre,rt,fast,0.038
sub011,open,visual power,500pre,rt,slow,0.038
sub011,open,somato-visual balance,500pre,accuracy_e,correct_e,0.038
sub011,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.038
sub011,open,somato-visual balance,500pre,rt,fast,0.038
sub011,open,somato-visual balance,500pre,rt,slow,0.038
sub011,closed,laterilsation index,500pre,accuracy_e,correct_e,0.016
sub011,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.089
sub011,closed,laterilsation index,500pre,rt,fast,0.016
sub011,closed,laterilsation index,500pre,rt,slow,0.023
sub011,closed,visual power,500pre,accuracy_e,correct_e,0.023
sub011,closed,visual power,500pre,accuracy_e,incorrect_e,0.023
sub011,closed,visual power,500pre,rt,fast,0.023
sub011,closed,visual power,500pre,rt,slow,0.023
sub011,closed,somato-visual balance,500pre,accuracy_e,correct_e,0.023
sub011,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,0.023
sub011,closed,somato-visual balance,500pre,rt,fast,0.023
sub011,closed,somato-visual balance,500pre,rt,slow,0.023
sub012,open,laterilsation index,500pre,accuracy_e,correct_e,-0.047
sub012,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.021
sub012,open,laterilsation index,500pre,rt,fast,0.005
sub012,open,laterilsation index,500pre,rt,slow,0.024
sub012,open,visual power,500pre,accuracy_e,correct_e,0.024
sub012,open,visual power,500pre,accuracy_e,incorrect_e,0.024
sub012,open,visual power,500pre,rt,fast,0.024
sub012,open,visual power,500pre,rt,slow,0.024
sub012,open,somato-visual balance,500pre,accuracy_e,correct_e,0.024
sub012,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.024
sub012,open,somato-visual balance,500pre,rt,fast,0.024
sub012,open,somato-visual balance,500pre,rt,slow,0.024
sub012,closed,laterilsation index,500pre,accuracy_e,correct_e,0.122
sub012,closed,laterilsation index,500pre,accuracy_e,incorrect_e,-0.02
sub012,closed,laterilsation index,500pre,rt,fast,0.069
sub012,closed,laterilsation index,500pre,rt,slow,0.018
sub012,closed,visual power,500pre,accuracy_e,correct_e,0.018
sub012,closed,visual power,500pre,accuracy_e,incorrect_e,0.018
sub012,closed,visual power,500pre,rt,fast,0.018
sub012,closed,visual power,500pre,rt,slow,0.018
sub012,closed,somato-visual balance,500pre,accuracy_e,correct_e,0.018
sub012,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,0.018
sub012,closed,somato-visual balance,500pre,rt,fast,0.018
sub012,closed,somato-visual balance,500pre,rt,slow,0.018
sub017,open,laterilsation index,500pre,accuracy_e,correct_e,0.119
sub017,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.022
sub017,open,laterilsation index,500pre,rt,fast,0.082
sub017,open,laterilsation index,500pre,rt,slow,0.083
sub017,open,visual power,500pre,accuracy_e,correct_e,0.083
sub017,open,visual power,500pre,accuracy_e,incorrect_e,0.083
sub017,open,visual power,500pre,rt,fast,0.083
sub017,open,visual power,500pre,rt,slow,0.083
sub017,open,somato-visual balance,500pre,accuracy_e,correct_e,0.083
sub017,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.083
sub017,open,somato-visual balance,500pre,rt,fast,0.083
sub017,open,somato-visual balance,500pre,rt,slow,0.083
sub017,closed,laterilsation index,500pre,accuracy_e,correct_e,-0.001
sub017,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.143
sub017,closed,laterilsation index,500pre,rt,fast,0.049
sub017,closed,laterilsation index,500pre,rt,slow,0.037
sub017,closed,visual power,500pre,accuracy_e,correct_e,0.037
sub017,closed,visual power,500pre,accuracy_e,incorrect_e,0.037
sub017,closed,visual power,500pre,rt,fast,0.037
sub017,closed,visual power,500pre,rt,slow,0.037
sub017,closed,somato-visual balance,500pre,accuracy_e,correct_e,0.037
sub017,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,0.037
sub017,closed,somato-visual balance,500pre,rt,fast,0.037
sub017,closed,somato-visual balance,500pre,rt,slow,0.037
sub018,open,laterilsation index,500pre,accuracy_e,correct_e,0
sub018,open,laterilsation index,500pre,accuracy_e,incorrect_e,-0.014
sub018,open,laterilsation index,500pre,rt,fast,-0.041
sub018,open,laterilsation index,500pre,rt,slow,0.001
sub018,open,visual power,500pre,accuracy_e,correct_e,0.001
sub018,open,visual power,500pre,accuracy_e,incorrect_e,0.001
sub018,open,visual power,500pre,rt,fast,0.001
sub018,open,visual power,500pre,rt,slow,0.001
sub018,open,somato-visual balance,500pre,accuracy_e,correct_e,0.001
sub018,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.001
sub018,open,somato-visual balance,500pre,rt,fast,0.001
sub018,open,somato-visual balance,500pre,rt,slow,0.001
sub018,closed,laterilsation index,500pre,accuracy_e,correct_e,0.026
sub018,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.023
sub018,closed,laterilsation index,500pre,rt,fast,0.062
sub018,closed,laterilsation index,500pre,rt,slow,-0.016
sub018,closed,visual power,500pre,accuracy_e,correct_e,-0.016
sub018,closed,visual power,500pre,accuracy_e,incorrect_e,-0.016
sub018,closed,visual power,500pre,rt,fast,-0.016
sub018,closed,visual power,500pre,rt,slow,-0.016
sub018,closed,somato-visual balance,500pre,accuracy_e,correct_e,-0.016
sub018,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,-0.016
sub018,closed,somato-visual balance,500pre,rt,fast,-0.016
sub018,closed,somato-visual balance,500pre,rt,slow,-0.016
sub020,open,laterilsation index,500pre,accuracy_e,correct_e,0.047
sub020,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.081
sub020,open,laterilsation index,500pre,rt,fast,0.108
sub020,open,laterilsation index,500pre,rt,slow,0.1
sub020,open,visual power,500pre,accuracy_e,correct_e,0.1
sub020,open,visual power,500pre,accuracy_e,incorrect_e,0.1
sub020,open,visual power,500pre,rt,fast,0.1
sub020,open,visual power,500pre,rt,slow,0.1
sub020,open,somato-visual balance,500pre,accuracy_e,correct_e,0.1
sub020,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.1
sub020,open,somato-visual balance,500pre,rt,fast,0.1
sub020,open,somato-visual balance,500pre,rt,slow,0.1
sub020,closed,laterilsation index,500pre,accuracy_e,correct_e,0.11
sub020,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.1
sub020,closed,laterilsation index,500pre,rt,fast,0.085
sub020,closed,laterilsation index,500pre,rt,slow,0.087
sub020,closed,visual power,500pre,accuracy_e,correct_e,0.087
sub020,closed,visual power,500pre,accuracy_e,incorrect_e,0.087
sub020,closed,visual power,500pre,rt,fast,0.087
sub020,closed,visual power,500pre,rt,slow,0.087
sub020,closed,somato-visual balance,500pre,accuracy_e,correct_e,0.087
sub020,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,0.087
sub020,closed,somato-visual balance,500pre,rt,fast,0.087
sub020,closed,somato-visual balance,500pre,rt,slow,0.087
sub021,open,laterilsation index,500pre,accuracy_e,correct_e,0.124
sub021,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.061
sub021,open,laterilsation index,500pre,rt,fast,0.118
sub021,open,laterilsation index,500pre,rt,slow,0.075
sub021,open,visual power,500pre,accuracy_e,correct_e,0.075
sub021,open,visual power,500pre,accuracy_e,incorrect_e,0.075
sub021,open,visual power,500pre,rt,fast,0.075
sub021,open,visual power,500pre,rt,slow,0.075
sub021,open,somato-visual balance,500pre,accuracy_e,correct_e,0.075
sub021,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.075
sub021,open,somato-visual balance,500pre,rt,fast,0.075
sub021,open,somato-visual balance,500pre,rt,slow,0.075
sub021,closed,laterilsation index,500pre,accuracy_e,correct_e,0.149
sub021,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.076
sub021,closed,laterilsation index,500pre,rt,fast,0.146
sub021,closed,laterilsation index,500pre,rt,slow,0.176
sub021,closed,visual power,500pre,accuracy_e,correct_e,0.176
sub021,closed,visual power,500pre,accuracy_e,incorrect_e,0.176
sub021,closed,visual power,500pre,rt,fast,0.176
sub021,closed,visual power,500pre,rt,slow,0.176
sub021,closed,somato-visual balance,500pre,accuracy_e,correct_e,0.176
sub021,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,0.176
sub021,closed,somato-visual balance,500pre,rt,fast,0.176
sub021,closed,somato-visual balance,500pre,rt,slow,0.176
sub022,open,laterilsation index,500pre,accuracy_e,correct_e,0.087
sub022,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.059
sub022,open,laterilsation index,500pre,rt,fast,0.059
sub022,open,laterilsation index,500pre,rt,slow,0.064
sub022,open,visual power,500pre,accuracy_e,correct_e,0.064
sub022,open,visual power,500pre,accuracy_e,incorrect_e,0.064
sub022,open,visual power,500pre,rt,fast,0.064
sub022,open,visual power,500pre,rt,slow,0.064
sub022,open,somato-visual balance,500pre,accuracy_e,correct_e,0.064
sub022,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.064
sub022,open,somato-visual balance,500pre,rt,fast,0.064
sub022,open,somato-visual balance,500pre,rt,slow,0.064
sub022,closed,laterilsation index,500pre,accuracy_e,correct_e,0.144
sub022,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.098
sub022,closed,laterilsation index,500pre,rt,fast,0.184
sub022,closed,laterilsation index,500pre,rt,slow,0.116
sub022,closed,visual power,500pre,accuracy_e,correct_e,0.116
sub022,closed,visual power,500pre,accuracy_e,incorrect_e,0.116
sub022,closed,visual power,500pre,rt,fast,0.116
sub022,closed,visual power,500pre,rt,slow,0.116
sub022,closed,somato-visual balance,500pre,accuracy_e,correct_e,0.116
sub022,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,0.116
sub022,closed,somato-visual balance,500pre,rt,fast,0.116
sub022,closed,somato-visual balance,500pre,rt,slow,0.116
sub023,open,laterilsation index,500pre,accuracy_e,correct_e,0.124
sub023,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.053
sub023,open,laterilsation index,500pre,rt,fast,0.111
sub023,open,laterilsation index,500pre,rt,slow,0.09
sub023,open,visual power,500pre,accuracy_e,correct_e,0.09
sub023,open,visual power,500pre,accuracy_e,incorrect_e,0.09
sub023,open,visual power,500pre,rt,fast,0.09
sub023,open,visual power,500pre,rt,slow,0.09
sub023,open,somato-visual balance,500pre,accuracy_e,correct_e,0.09
sub023,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.09
sub023,open,somato-visual balance,500pre,rt,fast,0.09
sub023,open,somato-visual balance,500pre,rt,slow,0.09
sub023,closed,laterilsation index,500pre,accuracy_e,correct_e,0.075
sub023,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.029
sub023,closed,laterilsation index,500pre,rt,fast,0.097
sub023,closed,laterilsation index,500pre,rt,slow,0.122
sub023,closed,visual power,500pre,accuracy_e,correct_e,0.122
sub023,closed,visual power,500pre,accuracy_e,incorrect_e,0.122
sub023,closed,visual power,500pre,rt,fast,0.122
sub023,closed,visual power,500pre,rt,slow,0.122
sub023,closed,somato-visual balance,500pre,accuracy_e,correct_e,0.122
sub023,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,0.122
sub023,closed,somato-visual balance,500pre,rt,fast,0.122
sub023,closed,somato-visual balance,500pre,rt,slow,0.122
sub024,open,laterilsation index,500pre,accuracy_e,correct_e,0.047
sub024,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.018
sub024,open,laterilsation index,500pre,rt,fast,-0.03
sub024,open,laterilsation index,500pre,rt,slow,-0.016
sub024,open,visual power,500pre,accuracy_e,correct_e,-0.016
sub024,open,visual power,500pre,accuracy_e,incorrect_e,-0.016
sub024,open,visual power,500pre,rt,fast,-0.016
sub024,open,visual power,500pre,rt,slow,-0.016
sub024,open,somato-visual balance,500pre,accuracy_e,correct_e,-0.016
sub024,open,somato-visual balance,500pre,accuracy_e,incorrect_e,-0.016
sub024,open,somato-visual balance,500pre,rt,fast,-0.016
sub024,open,somato-visual balance,500pre,rt,slow,-0.016
sub024,closed,laterilsation index,500pre,accuracy_e,correct_e,0.01
sub024,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.013
sub024,closed,laterilsation index,500pre,rt,fast,0.022
sub024,closed,laterilsation index,500pre,rt,slow,-0.021
sub024,closed,visual power,500pre,accuracy_e,correct_e,-0.021
sub024,closed,visual power,500pre,accuracy_e,incorrect_e,-0.021
sub024,closed,visual power,500pre,rt,fast,-0.021
sub024,closed,visual power,500pre,rt,slow,-0.021
sub024,closed,somato-visual balance,500pre,accuracy_e,correct_e,-0.021
sub024,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,-0.021
sub024,closed,somato-visual balance,500pre,rt,fast,-0.021
sub024,closed,somato-visual balance,500pre,rt,slow,-0.021
