sub,eye,measure,window,peak,compare,cond,value
sub008,closed,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.93953859430758
sub008,closed,somatovisual balance,1000pre,sensor,rt,fast,0.9559493465031
sub008,closed,somatovisual balance,1000pre,sensor,rt,slow,0.939610987431095
sub009,open,visual power,1000pre,sensor,accuracy_e,correct_e,-0.0297472673657128
sub009,open,visual power,1000pre,sensor,accuracy_e,incorrect_e,-0.0210211681605416
sub009,open,visual power,1000pre,sensor,rt,fast,0.17607497675202
sub009,open,visual power,1000pre,sensor,rt,slow,0.0502666503231474
sub009,open,laterilsation index,1000pre,sensor,accuracy_e,correct_e,-0.00809062854344723
sub009,open,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.0553024762455021
sub009,open,laterilsation index,1000pre,sensor,rt,fast,0.0978605482376295
sub009,open,laterilsation index,1000pre,sensor,rt,slow,-0.0795129692967778
sub009,open,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.113898566401356
sub009,open,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.109325690956444
sub009,open,somatovisual balance,1000pre,sensor,rt,fast,0.15691648665641
sub009,open,somatovisual balance,1000pre,sensor,rt,slow,0.0743695189757809
sub009,closed,visual power,1000pre,sensor,accuracy_e,correct_e,-0.0854485925151669
sub009,closed,visual power,1000pre,sensor,accuracy_e,incorrect_e,-0.141258720422268
sub009,closed,visual power,1000pre,sensor,rt,fast,-0.0839725912575014
sub009,closed,visual power,1000pre,sensor,rt,slow,-0.112571122199923
sub009,closed,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.0987826063378799
sub009,closed,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.0738946314377836
sub009,closed,laterilsation index,1000pre,sensor,rt,fast,0.100929388119916
sub009,closed,laterilsation index,1000pre,sensor,rt,slow,0.0594301361879331
sub009,closed,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.205584066753614
sub009,closed,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.144759759943176
sub009,closed,somatovisual balance,1000pre,sensor,rt,fast,0.171698638618641
sub009,closed,somatovisual balance,1000pre,sensor,rt,slow,0.166435608354621
sub010,open,visual power,1000pre,sensor,accuracy_e,correct_e,0.664514564105944
sub010,open,visual power,1000pre,sensor,accuracy_e,incorrect_e,0.512532647556886
sub010,open,visual power,1000pre,sensor,rt,fast,0.869573801696803
sub010,open,visual power,1000pre,sensor,rt,slow,0.67875090640644
sub010,open,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.035289356961101
sub010,open,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.183276980650495
sub010,open,laterilsation index,1000pre,sensor,rt,fast,0.070980635246679
sub010,open,laterilsation index,1000pre,sensor,rt,slow,0.000942832843773048
