sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,open,visual power,Brodmann area 18,incorrect,accuracy,500pre,source,beta,0.31232977402477
sub001,open,visual power,Brodmann area 18,correct_e,accuracy_e,500pre,source,beta,-0.0845468727230834
sub001,open,visual power,Brodmann area 18,incorrect_e,accuracy_e,500pre,source,beta,0.31232977402477
sub001,open,visual power,Brodmann area 18,fast,rt,500pre,source,beta,0.215213245129882
sub001,open,visual power,Brodmann area 18,slow,rt,500pre,source,beta,0.0290530691578073
sub001,open,visual power,Brodmann area 19,correct,accuracy,500pre,source,beta,0.0154477829408494
sub001,open,visual power,Brodmann area 19,incorrect,accuracy,500pre,source,beta,0.026777564208294
sub001,open,visual power,Brodmann area 19,correct_e,accuracy_e,500pre,source,beta,0.130403456937
sub001,open,visual power,Brodmann area 19,incorrect_e,accuracy_e,500pre,source,beta,0.026777564208294
sub001,open,visual power,Brodmann area 19,fast,rt,500pre,source,beta,0.0478687589018913
sub001,open,visual power,Brodmann area 19,slow,rt,500pre,source,beta,0.0118159135157512
sub001,closed,visual power,vtpm V1,correct,accuracy,500pre,source,beta,0.0226297669055317
sub001,closed,visual power,vtpm V1,incorrect,accuracy,500pre,source,beta,0.207101656511693
sub001,closed,visual power,vtpm V1,correct_e,accuracy_e,500pre,source,beta,0.481966421887159
sub001,closed,visual power,vtpm V1,incorrect_e,accuracy_e,500pre,source,beta,0.207101656511693
sub001,closed,visual power,vtpm V1,fast,rt,500pre,source,beta,0.0581954088522423
sub001,closed,visual power,vtpm V1,slow,rt,500pre,source,beta,-0.0599424586018918
sub001,closed,visual power,vtpm V2,correct,accuracy,500pre,source,beta,-0.0505751558119876
sub001,closed,visual power,vtpm V2,incorrect,accuracy,500pre,source,beta,0.0196206250104956
sub001,closed,visual power,vtpm V2,correct_e,accuracy_e,500pre,source,beta,-0.3242893941396
sub001,closed,visual power,vtpm V2,incorrect_e,accuracy_e,500pre,source,beta,0.0196206250104956
sub001,closed,visual power,vtpm V2,fast,rt,500pre,source,beta,0.062199538249656
sub001,closed,visual power,vtpm V2,slow,rt,500pre,source,beta,-0.148785607382586
sub001,closed,visual power,vtpm V3,correct,accuracy,500pre,source,beta,-0.0411736136171636
sub001,closed,visual power,vtpm V3,incorrect,accuracy,500pre,source,beta,-0.196450412131813
sub001,closed,visual power,vtpm V3,correct_e,accuracy_e,500pre,source,beta,0.102823080713804
sub001,closed,visual power,vtpm V3,incorrect_e,accuracy_e,500pre,source,beta,-0.196450412131813
sub001,closed,visual power,vtpm V3,fast,rt,500pre,source,beta,-0.0099655586709242
sub001,closed,visual power,vtpm V3,slow,rt,500pre,source,beta,-0.130808548339079
sub001,closed,visual power,Brodmann area 17,correct,accuracy,500pre,source,beta,0.0196426268696236
sub001,closed,visual power,Brodmann area 17,incorrect,accuracy,500pre,source,beta,0.0565838240117535
sub001,closed,visual power,Brodmann area 17,correct_e,accuracy_e,500pre,source,beta,0.142697230504328
sub001,closed,visual power,Brodmann area 17,incorrect_e,accuracy_e,500pre,source,beta,0.0565838240117535
sub001,closed,visual power,Brodmann area 17,fast,rt,500pre,source,beta,0.03123499672137
sub001,closed,visual power,Brodmann area 17,slow,rt,500pre,source,beta,-0.0124706854819758
sub001,closed,visual power,Brodmann area 18,correct,accuracy,500pre,source,beta,-0.0534851878670864
sub001,closed,visual power,Brodmann area 18,incorrect,accuracy,500pre,source,beta,-0.064164326826735
sub001,closed,visual power,Brodmann area 18,correct_e,accuracy_e,500pre,source,beta,-0.227800616442869
sub001,closed,visual power,Brodmann area 18,incorrect_e,accuracy_e,500pre,source,beta,-0.064164326826735
sub001,closed,visual power,Brodmann area 18,fast,rt,500pre,source,beta,0.00414967775773719
sub001,closed,visual power,Brodmann area 18,slow,rt,500pre,source,beta,-0.0987622073981462
sub001,closed,visual power,Brodmann area 19,correct,accuracy,500pre,source,beta,-0.179298072016245
sub001,closed,visual power,Brodmann area 19,incorrect,accuracy,500pre,source,beta,-0.159628770450944
sub001,closed,visual power,Brodmann area 19,correct_e,accuracy_e,500pre,source,beta,-0.497143767356445
