sub,eyes,measure,roi,cond,compare,value
sub004,open,absolute,v1,fast,rt,3.15818064626259
sub004,open,absolute,v1,slow,rt,2.88301018064665
sub004,closed,visual power,v1,correct,accuracy,0.33194484186102
sub004,closed,visual power,v1,incorrect,accuracy,0.176034277646407
sub004,closed,visual power,v1,correct_e,accuracy_e,0.250774503963726
sub004,closed,visual power,v1,incorrect_e,accuracy_e,0.176034277646407
sub004,closed,visual power,v1,fast,rt,0.383969157810563
sub004,closed,visual power,v1,slow,rt,0.261858527201303
sub004,closed,somato lateralisation index,max,correct,accuracy,0.00672718041326162
sub004,closed,somato lateralisation index,max,incorrect,accuracy,0.179457857185716
sub004,closed,somato lateralisation index,max,correct_e,accuracy_e,0.0398418393708191
sub004,closed,somato lateralisation index,max,incorrect_e,accuracy_e,0.179457857185716
sub004,closed,somato lateralisation index,max,fast,rt,0.00916317146922125
sub004,closed,somato lateralisation index,max,slow,rt,0.00665998300061575
sub004,closed,absolute,v1,correct,accuracy,4.83197224811228
sub004,closed,absolute,v1,incorrect,accuracy,4.43942765102628
sub004,closed,absolute,v1,correct_e,accuracy_e,4.92150416695294
sub004,closed,absolute,v1,incorrect_e,accuracy_e,4.43942765102628
sub004,closed,absolute,v1,fast,rt,4.82692147912285
sub004,closed,absolute,v1,slow,rt,4.80646763807441
sub005,open,visual power,v1,correct,accuracy,0.29204571773633
sub005,open,visual power,v1,incorrect,accuracy,0.171676463929269
sub005,open,visual power,v1,correct_e,accuracy_e,0.190232470843132
sub005,open,visual power,v1,incorrect_e,accuracy_e,0.171676463929269
sub005,open,visual power,v1,fast,rt,0.326962808429751
sub005,open,visual power,v1,slow,rt,0.253445595337719
sub005,open,somato lateralisation index,max,correct,accuracy,0.00244685314574373
sub005,open,somato lateralisation index,max,incorrect,accuracy,0.0606256504574846
sub005,open,somato lateralisation index,max,correct_e,accuracy_e,0.00748605100984607
sub005,open,somato lateralisation index,max,incorrect_e,accuracy_e,0.0606256504574846
sub005,open,somato lateralisation index,max,fast,rt,0.0121602198087727
sub005,open,somato lateralisation index,max,slow,rt,-0.00837898123072156
sub005,open,absolute,v1,correct,accuracy,2.61206052812662
sub005,open,absolute,v1,incorrect,accuracy,2.49484502056025
sub005,open,absolute,v1,correct_e,accuracy_e,2.57136889483937
sub005,open,absolute,v1,incorrect_e,accuracy_e,2.49484502056025
sub005,open,absolute,v1,fast,rt,2.59071922673588
sub005,open,absolute,v1,slow,rt,2.63748751250063
sub005,closed,visual power,v1,correct,accuracy,-0.280626664886088
sub005,closed,visual power,v1,incorrect,accuracy,-0.303963912008476
sub005,closed,visual power,v1,correct_e,accuracy_e,-0.268146658398169
sub005,closed,visual power,v1,incorrect_e,accuracy_e,-0.303963912008476
sub005,closed,visual power,v1,fast,rt,-0.255679957812931
sub005,closed,visual power,v1,slow,rt,-0.309049675454328
sub005,closed,somato lateralisation index,max,correct,accuracy,0.00186220483226457
sub005,closed,somato lateralisation index,max,incorrect,accuracy,0.0142178113830073
