sub,eye,measure,bin,bin_n,pow,perc,rt
sub003,open,absolute,b1,1,1.84407909953579e-27,0.785714285714286,0.675550595238095
sub003,open,absolute,b2,2,3.50831255344017e-27,0.678571428571429,0.655119047619048
sub003,open,absolute,b3,3,5.04450618666282e-27,0.696428571428571,0.617485119047619
sub003,open,absolute,b4,4,7.28239379453112e-27,0.625,0.617560606060606
sub003,open,absolute,b5,5,1.19589183516422e-26,0.732142857142857,0.551294642857143
sub003,closed,absolute,b1,1,6.65881567673789e-27,0.730769230769231,0.606503267973856
sub003,closed,absolute,b2,2,1.02369112688298e-26,0.711538461538462,0.718862179487179
sub003,closed,absolute,b3,3,1.28234029355175e-26,0.826923076923077,0.603028846153846
sub003,closed,absolute,b4,4,1.63127044569694e-26,0.692307692307692,0.630964052287582
sub003,closed,absolute,b5,5,2.34267951883112e-26,0.730769230769231,0.617908496732026
sub003,open,relative,b1,1,-0.56837576708131,0.75,0.679464285714286
sub003,open,relative,b2,2,-0.149318348155708,0.75,0.618973214285714
sub003,open,relative,b3,3,0.243050436881903,0.678571428571429,0.593794642857143
sub003,open,relative,b4,4,0.95808932517407,0.732142857142857,0.610446428571429
sub003,open,relative,b5,5,3.7565166515616,0.607142857142857,0.619924242424242
sub003,closed,relative,b1,1,-0.514315677603691,0.673076923076923,0.63218954248366
sub003,closed,relative,b2,2,-0.225449620406687,0.75,0.634407051282051
sub003,closed,relative,b3,3,0.121767365249259,0.769230769230769,0.601810897435897
sub003,closed,relative,b4,4,0.623811632669488,0.75,0.659101307189542
sub003,closed,relative,b5,5,1.66363817448903,0.769230769230769,0.64452614379085
sub003,open,lat,b1,1,-0.293724687164552,0.571428571428571,0.595029761904762
sub003,open,lat,b2,2,-0.106368094973619,0.678571428571429,0.591830357142857
sub003,open,lat,b3,3,0.0356159734950874,0.767857142857143,0.661666666666667
sub003,open,lat,b4,4,0.162004274954802,0.785714285714286,0.66266369047619
sub003,open,lat,b5,5,0.388224756361594,0.696428571428571,0.604469696969697
sub003,closed,lat,b1,1,-0.283581053033387,0.826923076923077,0.637788461538461
sub003,closed,lat,b2,2,-0.0982343603532214,0.75,0.629281045751634
sub003,closed,lat,b3,3,0.0386054541119395,0.692307692307692,0.674150641025641
sub003,closed,lat,b4,4,0.189285688784645,0.615384615384615,0.620049019607843
sub003,closed,lat,b5,5,0.381312783731066,0.788461538461538,0.630996732026144
sub004,open,baseline,b1,1,1.03655283621792e-27,0.803571428571429,0.439196428571429
sub004,open,baseline,b2,2,1.99185094849485e-27,0.875,0.477410714285714
sub004,open,baseline,b3,3,2.99379842239279e-27,0.839285714285714,0.479776785714286
sub004,open,baseline,b4,4,4.33508096285025e-27,0.946428571428571,0.458229166666667
sub004,open,baseline,b5,5,8.64163789380767e-27,0.857142857142857,0.491309523809524
sub004,closed,baseline,b1,1,2.07414319615271e-27,0.836734693877551,0.523231292517007
sub004,closed,baseline,b2,2,4.30918508551165e-27,0.73469387755102,0.524285714285714
sub004,closed,baseline,b3,3,7.06804491674756e-27,0.877551020408163,0.534625850340136
sub004,closed,baseline,b4,4,1.02275696655903e-26,0.795918367346939,0.506989795918367
sub004,closed,baseline,b5,5,1.67718670430312e-26,0.73469387755102,0.537380952380952
sub004,open,absolute,b1,1,1.32774375760851e-27,0.785714285714286,0.479642857142857
sub004,open,absolute,b2,2,2.58993557318218e-27,0.892857142857143,0.475699404761905
sub004,open,absolute,b3,3,3.64195043990295e-27,0.928571428571429,0.476934523809524
sub004,open,absolute,b4,4,4.93393550464583e-27,0.857142857142857,0.451339285714286
sub004,open,absolute,b5,5,9.12845212070263e-27,0.857142857142857,0.462261904761905
sub004,closed,absolute,b1,1,3.7087353284226e-27,0.795918367346939,0.546649659863946
sub004,closed,absolute,b2,2,6.39688674973352e-27,0.755102040816326,0.517227891156463
sub004,closed,absolute,b3,3,9.09163497647413e-27,0.795918367346939,0.493707482993197
sub004,closed,absolute,b4,4,1.29642140361633e-26,0.836734693877551,0.532772108843537
sub004,closed,absolute,b5,5,2.05641633464157e-26,0.775510204081633,0.52765306122449
sub004,open,relative,b1,1,-0.619022962323909,0.839285714285714,0.507514880952381
sub004,open,relative,b2,2,-0.171580525154626,0.910714285714286,0.460401785714286
