sub,eye,measure,window,compare,cond,value
sub007,closed,somato lat,stim500pre,accuracy,incorrect,-0.061
sub007,closed,somato lat,stim500pre,accuracy_e,correct_e,0.007
sub007,closed,somato lat,stim500pre,accuracy_e,incorrect_e,-0.061
sub007,closed,somato lat,stim500pre,rt,fast,0.133
sub007,closed,somato lat,stim500pre,rt,slow,0.046
sub007,open,somato lat,stim1000pre,accuracy,correct,0.043
sub007,open,somato lat,stim1000pre,accuracy,incorrect,-0.06
sub007,open,somato lat,stim1000pre,accuracy_e,correct_e,0.034
sub007,open,somato lat,stim1000pre,accuracy_e,incorrect_e,-0.06
sub007,open,somato lat,stim1000pre,rt,fast,0.065
sub007,open,somato lat,stim1000pre,rt,slow,0.032
sub007,closed,somato lat,stim1000pre,accuracy,correct,0.025
sub007,closed,somato lat,stim1000pre,accuracy,incorrect,0.024
sub007,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.042
sub007,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.024
sub007,closed,somato lat,stim1000pre,rt,fast,0.052
sub007,closed,somato lat,stim1000pre,rt,slow,-0.011
sub008,open,somato lat,stim500pre,accuracy,correct,0.017
sub008,open,somato lat,stim500pre,accuracy,incorrect,-0.023
sub008,open,somato lat,stim500pre,accuracy_e,correct_e,0.018
sub008,open,somato lat,stim500pre,accuracy_e,incorrect_e,-0.023
sub008,open,somato lat,stim500pre,rt,fast,0.042
sub008,open,somato lat,stim500pre,rt,slow,-0.008
sub008,closed,somato lat,stim500pre,accuracy,correct,0.023
sub008,closed,somato lat,stim500pre,accuracy,incorrect,0.299
sub008,closed,somato lat,stim500pre,accuracy_e,correct_e,-0.075
sub008,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.299
sub008,closed,somato lat,stim500pre,rt,fast,0.055
sub008,closed,somato lat,stim500pre,rt,slow,-0.018
sub008,open,somato lat,stim1000pre,accuracy,correct,0.002
sub008,open,somato lat,stim1000pre,accuracy,incorrect,0.102
sub008,open,somato lat,stim1000pre,accuracy_e,correct_e,-0.063
sub008,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.102
sub008,open,somato lat,stim1000pre,rt,fast,0.035
sub008,open,somato lat,stim1000pre,rt,slow,-0.031
sub008,closed,somato lat,stim1000pre,accuracy,correct,0.025
sub008,closed,somato lat,stim1000pre,accuracy,incorrect,0.103
sub008,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.043
sub008,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.103
sub008,closed,somato lat,stim1000pre,rt,fast,0.088
sub008,closed,somato lat,stim1000pre,rt,slow,-0.038
sub009,open,somato lat,stim500pre,accuracy,correct,0.101
sub009,open,somato lat,stim500pre,accuracy,incorrect,-0.014
sub009,open,somato lat,stim500pre,accuracy_e,correct_e,0.13
sub009,open,somato lat,stim500pre,accuracy_e,incorrect_e,-0.014
sub009,open,somato lat,stim500pre,rt,fast,0.041
sub009,open,somato lat,stim500pre,rt,slow,0.172
sub009,closed,somato lat,stim500pre,accuracy,correct,0.073
sub009,closed,somato lat,stim500pre,accuracy,incorrect,0.063
sub009,closed,somato lat,stim500pre,accuracy_e,correct_e,0.129
sub009,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.063
sub009,closed,somato lat,stim500pre,rt,fast,0.158
sub009,closed,somato lat,stim500pre,rt,slow,-0.005
sub009,open,somato lat,stim1000pre,accuracy,correct,0.109
sub009,open,somato lat,stim1000pre,accuracy,incorrect,0.108
sub009,open,somato lat,stim1000pre,accuracy_e,correct_e,0.137
sub009,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.108
sub009,open,somato lat,stim1000pre,rt,fast,0.012
sub009,open,somato lat,stim1000pre,rt,slow,0.216
sub009,closed,somato lat,stim1000pre,accuracy,correct,0.043
sub009,closed,somato lat,stim1000pre,accuracy,incorrect,-0.032
sub009,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.024
sub009,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,-0.032
sub009,closed,somato lat,stim1000pre,rt,fast,0.061
sub009,closed,somato lat,stim1000pre,rt,slow,0.038
sub010,open,somato lat,stim500pre,accuracy,correct,0.171
sub010,open,somato lat,stim500pre,accuracy,incorrect,0.256
sub010,open,somato lat,stim500pre,accuracy_e,correct_e,0.197
sub010,open,somato lat,stim500pre,accuracy_e,incorrect_e,0.256
sub010,open,somato lat,stim500pre,rt,fast,0.184
sub010,open,somato lat,stim500pre,rt,slow,0.158
sub010,closed,somato lat,stim500pre,accuracy,correct,0.254
sub010,closed,somato lat,stim500pre,accuracy,incorrect,0.36
sub010,closed,somato lat,stim500pre,accuracy_e,correct_e,0.403
sub010,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.36
sub010,closed,somato lat,stim500pre,rt,fast,0.32
sub010,closed,somato lat,stim500pre,rt,slow,0.188
sub010,open,somato lat,stim1000pre,accuracy,correct,0.284
sub010,open,somato lat,stim1000pre,accuracy,incorrect,0.3
sub010,open,somato lat,stim1000pre,accuracy_e,correct_e,0.235
sub010,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.3
sub010,open,somato lat,stim1000pre,rt,fast,0.324
sub010,open,somato lat,stim1000pre,rt,slow,0.244
sub010,closed,somato lat,stim1000pre,accuracy,correct,0.359
sub010,closed,somato lat,stim1000pre,accuracy,incorrect,0.386
sub010,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.416
sub010,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.386
sub010,closed,somato lat,stim1000pre,rt,fast,0.399
sub010,closed,somato lat,stim1000pre,rt,slow,0.319
sub011,open,somato lat,stim500pre,accuracy,correct,0.093
sub011,open,somato lat,stim500pre,accuracy,incorrect,0.202
sub011,open,somato lat,stim500pre,accuracy_e,correct_e,0.117
sub011,open,somato lat,stim500pre,accuracy_e,incorrect_e,0.202
sub011,open,somato lat,stim500pre,rt,fast,0.094
sub011,open,somato lat,stim500pre,rt,slow,0.093
sub011,closed,somato lat,stim500pre,accuracy,correct,0.15
sub011,closed,somato lat,stim500pre,accuracy,incorrect,-0.006
sub011,closed,somato lat,stim500pre,accuracy_e,correct_e,0.284
sub011,closed,somato lat,stim500pre,accuracy_e,incorrect_e,-0.006
sub011,closed,somato lat,stim500pre,rt,fast,0.155
sub011,closed,somato lat,stim500pre,rt,slow,0.149
sub011,open,somato lat,stim1000pre,accuracy,correct,0.168
sub011,open,somato lat,stim1000pre,accuracy,incorrect,0.216
sub011,open,somato lat,stim1000pre,accuracy_e,correct_e,0.088
sub011,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.216
sub011,open,somato lat,stim1000pre,rt,fast,0.169
sub011,open,somato lat,stim1000pre,rt,slow,0.171
sub011,closed,somato lat,stim1000pre,accuracy,correct,0.195
sub011,closed,somato lat,stim1000pre,accuracy,incorrect,0.148
sub011,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.054
sub011,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.148
sub011,closed,somato lat,stim1000pre,rt,fast,0.191
sub011,closed,somato lat,stim1000pre,rt,slow,0.199
sub012,open,somato lat,stim500pre,accuracy,correct,0.026
sub012,open,somato lat,stim500pre,accuracy,incorrect,0.122
sub012,open,somato lat,stim500pre,accuracy_e,correct_e,-0.011
sub012,open,somato lat,stim500pre,accuracy_e,incorrect_e,0.122
sub012,open,somato lat,stim500pre,rt,fast,-0.033
sub012,open,somato lat,stim500pre,rt,slow,0.084
sub012,closed,somato lat,stim500pre,accuracy,correct,0.053
sub012,closed,somato lat,stim500pre,accuracy,incorrect,0.062
sub012,closed,somato lat,stim500pre,accuracy_e,correct_e,-0.183
sub012,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.062
sub012,closed,somato lat,stim500pre,rt,fast,0.087
sub012,closed,somato lat,stim500pre,rt,slow,0.023
sub012,open,somato lat,stim1000pre,accuracy,correct,0.014
sub012,open,somato lat,stim1000pre,accuracy,incorrect,0.004
sub012,open,somato lat,stim1000pre,accuracy_e,correct_e,0.039
sub012,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.004
sub012,open,somato lat,stim1000pre,rt,fast,0.027
sub012,open,somato lat,stim1000pre,rt,slow,-0
sub012,closed,somato lat,stim1000pre,accuracy,correct,0.047
sub012,closed,somato lat,stim1000pre,accuracy,incorrect,-0.057
sub012,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.191
sub012,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,-0.057
sub012,closed,somato lat,stim1000pre,rt,fast,0.09
sub012,closed,somato lat,stim1000pre,rt,slow,0.005
sub017,open,somato lat,stim500pre,accuracy,correct,0.087
sub017,open,somato lat,stim500pre,accuracy,incorrect,0.074
sub017,open,somato lat,stim500pre,accuracy_e,correct_e,0.168
sub017,open,somato lat,stim500pre,accuracy_e,incorrect_e,0.074
sub017,open,somato lat,stim500pre,rt,fast,0.052
sub017,open,somato lat,stim500pre,rt,slow,0.131
sub017,closed,somato lat,stim500pre,accuracy,correct,0.125
sub017,closed,somato lat,stim500pre,accuracy,incorrect,0.215
sub017,closed,somato lat,stim500pre,accuracy_e,correct_e,-0.046
sub017,closed,somato lat,stim500pre,accuracy_e,incorrect_e,0.215
sub017,closed,somato lat,stim500pre,rt,fast,0.165
sub017,closed,somato lat,stim500pre,rt,slow,0.083
sub017,open,somato lat,stim1000pre,accuracy,correct,0.111
sub017,open,somato lat,stim1000pre,accuracy,incorrect,0.094
sub017,open,somato lat,stim1000pre,accuracy_e,correct_e,0.043
sub017,open,somato lat,stim1000pre,accuracy_e,incorrect_e,0.094
sub017,open,somato lat,stim1000pre,rt,fast,0.15
sub017,open,somato lat,stim1000pre,rt,slow,0.069
sub017,closed,somato lat,stim1000pre,accuracy,correct,0.11
sub017,closed,somato lat,stim1000pre,accuracy,incorrect,0.258
sub017,closed,somato lat,stim1000pre,accuracy_e,correct_e,0.175
sub017,closed,somato lat,stim1000pre,accuracy_e,incorrect_e,0.258
sub017,closed,somato lat,stim1000pre,rt,fast,0.116
