sub,eye,roi,hemi,apeak
sub030,open,visual,left,11
sub030,open,visual,right,11
sub030,open,aud,left,7
sub030,open,aud,right,7
sub030,close,somato,left,11
sub030,close,somato,right,11
sub030,close,visual,left,10
sub030,close,visual,right,11
sub030,close,aud,left,7
sub030,close,aud,right,7
sub031,open,somato,left,8
sub031,open,somato,right,8
sub031,open,visual,left,9
sub031,open,visual,right,9
sub031,open,aud,left,8
sub031,open,aud,right,10
sub031,close,somato,left,9
sub031,close,somato,right,9
sub031,close,visual,left,9
sub031,close,visual,right,9
sub031,close,aud,left,9
sub031,close,aud,right,10
sub032,open,somato,left,10
sub032,open,somato,right,9
sub032,open,visual,left,10
sub032,open,visual,right,10
sub032,open,aud,left,7
sub032,open,aud,right,7
sub032,close,somato,left,11
sub032,close,somato,right,10
sub032,close,visual,left,10
sub032,close,visual,right,10
sub032,close,aud,left,10
sub032,close,aud,right,7
sub033,open,somato,left,11
sub033,open,somato,right,11
sub033,open,visual,left,10
sub033,open,visual,right,10
sub033,open,aud,left,7
sub033,open,aud,right,7
sub033,close,somato,left,11
sub033,close,somato,right,11
sub033,close,visual,left,10
sub033,close,visual,right,10
sub033,close,aud,left,7
sub033,close,aud,right,10
sub034,open,somato,left,11
sub034,open,somato,right,9
sub034,open,visual,left,11
sub034,open,visual,right,11
sub034,open,aud,left,9
sub034,open,aud,right,7
sub034,close,somato,left,11
sub034,close,somato,right,9
sub034,close,visual,left,9
sub034,close,visual,right,9
sub034,close,aud,left,10
sub034,close,aud,right,7
sub035,open,somato,left,8
sub035,open,somato,right,8
sub035,open,visual,left,9
sub035,open,visual,right,9
sub035,open,aud,left,8
sub035,open,aud,right,9
sub035,close,somato,left,8
sub035,close,somato,right,8
sub035,close,visual,left,9
sub035,close,visual,right,9
sub035,close,aud,left,8
sub035,close,aud,right,8
sub036,open,somato,left,11
sub036,open,somato,right,12
sub036,open,visual,left,10
sub036,open,visual,right,10
sub036,open,aud,left,9
sub036,open,aud,right,10
sub036,close,somato,left,11
sub036,close,somato,right,12
sub036,close,visual,left,10
sub036,close,visual,right,10
sub036,close,aud,left,9
sub036,close,aud,right,9
sub037,open,somato,left,9
sub037,open,somato,right,9
sub037,open,visual,left,10
sub037,open,visual,right,10
sub037,open,aud,left,9
sub037,open,aud,right,9
sub037,close,somato,left,9
sub037,close,somato,right,9
sub037,close,visual,left,10
sub037,close,visual,right,10
sub037,close,aud,left,8
sub037,close,aud,right,8
sub039,open,somato,left,13
sub039,open,somato,right,13
sub039,open,visual,left,10
sub039,open,visual,right,10
sub039,open,aud,left,10
sub039,open,aud,right,10
sub039,close,somato,left,13
sub039,close,somato,right,13
sub039,close,visual,left,10
sub039,close,visual,right,10
sub039,close,aud,left,10
sub039,close,aud,right,9
