sub,eyes,measure,roi,cond,compare,band,value
sub010,closed,somato lateralisation index,max,slow,rt,alpha,0.62147307287167
sub010,closed,absolute,vtpm V1,correct,accuracy,alpha,1.79136124820461e-05
sub010,closed,absolute,vtpm V1,incorrect,accuracy,alpha,1.60890067879043e-05
sub010,closed,absolute,vtpm V1,correct_e,accuracy_e,alpha,1.83233242893394e-05
sub010,closed,absolute,vtpm V1,incorrect_e,accuracy_e,alpha,1.60890067879043e-05
sub010,closed,absolute,vtpm V1,fast,rt,alpha,1.80108249572521e-05
sub010,closed,absolute,vtpm V1,slow,rt,alpha,1.71974324340393e-05
sub010,closed,absolute,vtpm V2,correct,accuracy,alpha,1.60047396105961e-05
sub010,closed,absolute,vtpm V2,incorrect,accuracy,alpha,1.4033569486302e-05
sub010,closed,absolute,vtpm V2,correct_e,accuracy_e,alpha,1.56700395254884e-05
sub010,closed,absolute,vtpm V2,incorrect_e,accuracy_e,alpha,1.4033569486302e-05
sub010,closed,absolute,vtpm V2,fast,rt,alpha,1.43219869103609e-05
sub010,closed,absolute,vtpm V2,slow,rt,alpha,1.76295528900902e-05
sub010,closed,absolute,vtpm V3,correct,accuracy,alpha,1.32844209220738e-05
sub010,closed,absolute,vtpm V3,incorrect,accuracy,alpha,1.34553087402777e-05
sub010,closed,absolute,vtpm V3,correct_e,accuracy_e,alpha,1.31430099980525e-05
sub010,closed,absolute,vtpm V3,incorrect_e,accuracy_e,alpha,1.34553087402777e-05
sub010,closed,absolute,vtpm V3,fast,rt,alpha,1.30934274584474e-05
sub010,closed,absolute,vtpm V3,slow,rt,alpha,1.29945098181412e-05
sub011,open,visual power,vtpm V1,correct,accuracy,alpha,0.908757648996332
sub011,open,visual power,vtpm V1,incorrect,accuracy,alpha,0.271478475250894
sub011,open,visual power,vtpm V1,correct_e,accuracy_e,alpha,1.84057837475025
sub011,open,visual power,vtpm V1,incorrect_e,accuracy_e,alpha,0.271478475250894
sub011,open,visual power,vtpm V1,fast,rt,alpha,1.12966605289148
sub011,open,visual power,vtpm V1,slow,rt,alpha,0.719715507099519
sub011,open,visual power,vtpm V2,correct,accuracy,alpha,0.422456473151588
sub011,open,visual power,vtpm V2,incorrect,accuracy,alpha,0.412719223137368
sub011,open,visual power,vtpm V2,correct_e,accuracy_e,alpha,0.306649512558681
sub011,open,visual power,vtpm V2,incorrect_e,accuracy_e,alpha,0.412719223137368
sub011,open,visual power,vtpm V2,fast,rt,alpha,0.475547142777321
sub011,open,visual power,vtpm V2,slow,rt,alpha,0.360980619411348
sub011,open,visual power,vtpm V3,correct,accuracy,alpha,0.565210557517476
sub011,open,visual power,vtpm V3,incorrect,accuracy,alpha,0.39615680202948
sub011,open,visual power,vtpm V3,correct_e,accuracy_e,alpha,0.598032800351766
sub011,open,visual power,vtpm V3,incorrect_e,accuracy_e,alpha,0.39615680202948
sub011,open,visual power,vtpm V3,fast,rt,alpha,0.699020491591281
sub011,open,visual power,vtpm V3,slow,rt,alpha,0.414456695528399
sub011,open,somato lateralisation index,max,correct,accuracy,alpha,0.0487574072184597
sub011,open,somato lateralisation index,max,incorrect,accuracy,alpha,-0.174539400091528
sub011,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.153187539687177
sub011,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.174539400091528
sub011,open,somato lateralisation index,max,fast,rt,alpha,0.0240750654266609
sub011,open,somato lateralisation index,max,slow,rt,alpha,0.0885538742753882
sub011,open,absolute,vtpm V1,correct,accuracy,alpha,3.43345216110734e-06
sub011,open,absolute,vtpm V1,incorrect,accuracy,alpha,2.29697036068017e-06
sub011,open,absolute,vtpm V1,correct_e,accuracy_e,alpha,2.70601899267224e-06
sub011,open,absolute,vtpm V1,incorrect_e,accuracy_e,alpha,2.29697036068017e-06
sub011,open,absolute,vtpm V1,fast,rt,alpha,3.37033768600062e-06
sub011,open,absolute,vtpm V1,slow,rt,alpha,3.50982081739674e-06
sub011,open,absolute,vtpm V2,correct,accuracy,alpha,9.50962021230502e-06
sub011,open,absolute,vtpm V2,incorrect,accuracy,alpha,8.68869520194765e-06
sub011,open,absolute,vtpm V2,correct_e,accuracy_e,alpha,7.26267712825384e-06
sub011,open,absolute,vtpm V2,incorrect_e,accuracy_e,alpha,8.68869520194765e-06
sub011,open,absolute,vtpm V2,fast,rt,alpha,9.62376043830225e-06
sub011,open,absolute,vtpm V2,slow,rt,alpha,9.50930883112248e-06
sub011,open,absolute,vtpm V3,correct,accuracy,alpha,3.56996443660135e-06
sub011,open,absolute,vtpm V3,incorrect,accuracy,alpha,2.68025500581712e-06
sub011,open,absolute,vtpm V3,correct_e,accuracy_e,alpha,3.03957265519339e-06
sub011,open,absolute,vtpm V3,incorrect_e,accuracy_e,alpha,2.68025500581712e-06
sub011,open,absolute,vtpm V3,fast,rt,alpha,3.67487666609984e-06
sub011,open,absolute,vtpm V3,slow,rt,alpha,3.51032310300118e-06
sub011,closed,visual power,vtpm V1,correct,accuracy,alpha,-0.375485856688163
sub011,closed,visual power,vtpm V1,incorrect,accuracy,alpha,-0.00376606668285234
sub011,closed,visual power,vtpm V1,correct_e,accuracy_e,alpha,-0.360519883113547
sub011,closed,visual power,vtpm V1,incorrect_e,accuracy_e,alpha,-0.00376606668285234
sub011,closed,visual power,vtpm V1,fast,rt,alpha,-0.321382418091488
sub011,closed,visual power,vtpm V1,slow,rt,alpha,-0.405655139198834
sub011,closed,visual power,vtpm V2,correct,accuracy,alpha,-0.402504134706503
sub011,closed,visual power,vtpm V2,incorrect,accuracy,alpha,-0.0616176118720557
sub011,closed,visual power,vtpm V2,correct_e,accuracy_e,alpha,-0.371317874405215
sub011,closed,visual power,vtpm V2,incorrect_e,accuracy_e,alpha,-0.0616176118720557
sub011,closed,visual power,vtpm V2,fast,rt,alpha,-0.395835985211947
sub011,closed,visual power,vtpm V2,slow,rt,alpha,-0.418301582289394
sub011,closed,visual power,vtpm V3,correct,accuracy,alpha,-0.357127734572189
sub011,closed,visual power,vtpm V3,incorrect,accuracy,alpha,-0.089874987610312
sub011,closed,visual power,vtpm V3,correct_e,accuracy_e,alpha,-0.334583067629484
sub011,closed,visual power,vtpm V3,incorrect_e,accuracy_e,alpha,-0.089874987610312
sub011,closed,visual power,vtpm V3,fast,rt,alpha,-0.3444012156303
sub011,closed,visual power,vtpm V3,slow,rt,alpha,-0.34729836700175
sub011,closed,somato lateralisation index,max,correct,accuracy,alpha,0.0355324540519067
sub011,closed,somato lateralisation index,max,incorrect,accuracy,alpha,0.0502200760797679
sub011,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.0285367221357496
sub011,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.0502200760797679
sub011,closed,somato lateralisation index,max,fast,rt,alpha,-0.0329152938987148
sub011,closed,somato lateralisation index,max,slow,rt,alpha,0.12328185199981
sub011,closed,absolute,vtpm V1,correct,accuracy,alpha,2.3344659589611e-06
