suj,sample_size,perc_trials,bin,itc
5sub034,n=05,070 %,b5,0.0936309618146727
5sub035,n=05,070 %,b1,0.0964263526190854
5sub035,n=05,070 %,b2,0.088494672262588
5sub035,n=05,070 %,b3,0.0887624877346661
5sub035,n=05,070 %,b4,0.0896748095221516
5sub035,n=05,070 %,b5,0.0911163290488914
5sub027,n=05,070 %,b1,0.146795355192767
5sub027,n=05,070 %,b2,0.144448053199548
5sub027,n=05,070 %,b3,0.14370754877109
5sub027,n=05,070 %,b4,0.143112420492367
5sub027,n=05,070 %,b5,0.143330382464427
5sub021,n=05,080 %,b1,0.0746822606910385
5sub021,n=05,080 %,b2,0.0657584306523966
5sub021,n=05,080 %,b3,0.0631253436561141
5sub021,n=05,080 %,b4,0.0645198500619544
5sub021,n=05,080 %,b5,0.0646437455644894
5sub025,n=05,080 %,b1,0.0892228740942699
5sub025,n=05,080 %,b2,0.0863253672617007
5sub025,n=05,080 %,b3,0.079117748444791
5sub025,n=05,080 %,b4,0.0819572796399478
5sub025,n=05,080 %,b5,0.0841210694037328
5sub034,n=05,080 %,b1,0.107664552394123
5sub034,n=05,080 %,b2,0.10895104890169
5sub034,n=05,080 %,b3,0.103062088094778
5sub034,n=05,080 %,b4,0.096818718651906
5sub034,n=05,080 %,b5,0.0937877308919122
5sub035,n=05,080 %,b1,0.0979374843662712
5sub035,n=05,080 %,b2,0.0918532107087001
5sub035,n=05,080 %,b3,0.0882116357155612
5sub035,n=05,080 %,b4,0.0913649409634925
5sub035,n=05,080 %,b5,0.0914602663842096
5sub027,n=05,080 %,b1,0.145704527729797
5sub027,n=05,080 %,b2,0.14540116253017
5sub027,n=05,080 %,b3,0.141856611461473
5sub027,n=05,080 %,b4,0.142773239634612
5sub027,n=05,080 %,b5,0.143076710015417
5sub021,n=05,090 %,b1,0.0730505550010602
5sub021,n=05,090 %,b2,0.0692317923159535
5sub021,n=05,090 %,b3,0.0646390317774119
5sub021,n=05,090 %,b4,0.0658907067057217
5sub021,n=05,090 %,b5,0.0657848048716396
5sub025,n=05,090 %,b1,0.0881472365114862
5sub025,n=05,090 %,b2,0.0869751864317708
5sub025,n=05,090 %,b3,0.0802323194320437
5sub025,n=05,090 %,b4,0.0793032891963152
5sub025,n=05,090 %,b5,0.0834832870820828
5sub034,n=05,090 %,b1,0.106805366643606
5sub034,n=05,090 %,b2,0.108223781650092
5sub034,n=05,090 %,b3,0.102649253511314
5sub034,n=05,090 %,b4,0.0969473945328455
5sub034,n=05,090 %,b5,0.0897161853352687
5sub035,n=05,090 %,b1,0.096190537792915
5sub035,n=05,090 %,b2,0.0909304784675903
5sub035,n=05,090 %,b3,0.0891004391756158
5sub035,n=05,090 %,b4,0.0917863520473907
5sub035,n=05,090 %,b5,0.0876135357110113
5sub027,n=05,090 %,b1,0.141448287769227
5sub027,n=05,090 %,b2,0.142955106452761
5sub027,n=05,090 %,b3,0.139124860323046
