suj,eye,cue,perc_corr,perc_icor,perc_miss,med_rt
sub023,open,left,0.868055555555556,0.118055555555556,0.0138888888888889,0.628333333333333
sub023,open,right,0.835616438356164,0.164383561643836,0,0.599583333333333
sub023,close,left,0.831081081081081,0.162162162162162,0.00675675675675676,0.630833333333333
sub023,close,right,0.878378378378378,0.114864864864865,0.00675675675675676,0.652083333333333
sub024,open,left,0.826666666666667,0.16,0.0133333333333333,0.6175
sub024,open,right,0.835714285714286,0.164285714285714,0,0.591666666666667
sub024,close,left,0.666666666666667,0.293650793650794,0.0396825396825397,0.69125
sub024,close,right,0.71875,0.265625,0.015625,0.675416666666667
sub025,open,left,0.569105691056911,0.422764227642276,0.00813008130081301,0.77625
sub025,open,right,0.533898305084746,0.457627118644068,0.00847457627118644,0.785
sub025,close,left,0.675,0.325,0,0.848333333333333
sub025,close,right,0.58974358974359,0.401709401709402,0.00854700854700855,0.751666666666667
sub026,open,left,0.760869565217391,0.217391304347826,0.0217391304347826,0.736666666666667
sub026,open,right,0.731034482758621,0.248275862068966,0.0206896551724138,0.6975
sub026,close,left,0.755725190839695,0.198473282442748,0.0458015267175573,0.686666666666667
sub026,close,right,0.795620437956204,0.182481751824818,0.0218978102189781,0.760833333333333
sub027,open,left,0.75,0.25,0,0.65
sub027,open,right,0.73943661971831,0.253521126760563,0.00704225352112676,0.6325
sub027,close,left,0.707692307692308,0.292307692307692,0,0.635833333333333
sub027,close,right,0.759124087591241,0.240875912408759,0,0.614583333333333
sub028,open,left,0.823943661971831,0.169014084507042,0.00704225352112676,0.768333333333333
sub028,open,right,0.762237762237762,0.195804195804196,0.041958041958042,0.769166666666667
sub028,close,left,0.769230769230769,0.167832167832168,0.0629370629370629,0.817916666666667
sub028,close,right,0.748201438848921,0.23021582733813,0.0215827338129496,0.774583333333333
sub029,open,left,0.710344827586207,0.262068965517241,0.0275862068965517,0.8275
sub029,open,right,0.843971631205674,0.134751773049645,0.0212765957446809,0.780833333333333
sub029,close,left,0.581081081081081,0.256756756756757,0.162162162162162,0.9025
sub029,close,right,0.713286713286713,0.216783216783217,0.0699300699300699,0.822083333333333
sub030,open,left,0.781456953642384,0.185430463576159,0.033112582781457,0.628333333333333
sub030,open,right,0.741721854304636,0.258278145695364,0,0.61625
sub030,close,left,0.773972602739726,0.219178082191781,0.00684931506849315,0.638333333333333
sub030,close,right,0.831081081081081,0.168918918918919,0,0.59
sub031,open,left,0.709923664122137,0.290076335877863,0,0.700833333333333
sub031,open,right,0.67910447761194,0.305970149253731,0.0149253731343284,0.645
sub031,close,left,0.611940298507463,0.328358208955224,0.0597014925373134,0.74375
sub031,close,right,0.651162790697674,0.341085271317829,0.00775193798449612,0.740416666666667
sub032,open,left,0.648648648648649,0.344594594594595,0.00675675675675676,0.613333333333333
sub032,open,right,0.578231292517007,0.401360544217687,0.0204081632653061,0.69
sub032,close,left,0.621428571428571,0.364285714285714,0.0142857142857143,0.601666666666667
sub032,close,right,0.689393939393939,0.303030303030303,0.00757575757575758,0.618333333333333
sub033,open,left,0.840579710144927,0.123188405797101,0.036231884057971,0.692916666666667
sub033,open,right,0.915492957746479,0.0704225352112676,0.0140845070422535,0.659583333333333
sub033,close,left,0.735294117647059,0.227941176470588,0.0367647058823529,0.67375
sub033,close,right,0.868217054263566,0.124031007751938,0.00775193798449612,0.665
sub034,open,left,0.818181818181818,0.181818181818182,0,0.581666666666667
sub034,open,right,0.797101449275362,0.202898550724638,0,0.5575
sub034,close,left,0.843971631205674,0.156028368794326,0,0.5525
sub034,close,right,0.75,0.25,0,0.537916666666667
sub035,open,left,0.662162162162162,0.337837837837838,0,0.452083333333333
sub035,open,right,0.581560283687943,0.418439716312057,0,0.460833333333333
sub035,close,left,0.616438356164384,0.383561643835616,0,0.520833333333333
sub035,close,right,0.587412587412587,0.412587412587413,0,0.502916666666667
sub036,open,left,0.736434108527132,0.255813953488372,0.00775193798449612,0.729166666666667
sub036,open,right,0.798449612403101,0.193798449612403,0.00775193798449612,0.696666666666667
sub036,close,left,0.76984126984127,0.222222222222222,0.00793650793650794,0.811666666666667
sub036,close,right,0.781512605042017,0.210084033613445,0.00840336134453781,0.7325
sub037,open,left,0.803149606299213,0.196850393700787,0,0.685416666666667
sub037,open,right,0.832,0.168,0,0.644166666666667
sub037,close,left,0.744186046511628,0.255813953488372,0,0.703333333333333
sub037,close,right,0.72992700729927,0.240875912408759,0.0291970802919708,0.726666666666667
sub039,open,left,0.898550724637681,0.0869565217391304,0.0144927536231884,0.674166666666667
sub039,open,right,0.856115107913669,0.129496402877698,0.0143884892086331,0.65
sub039,close,left,0.937062937062937,0.0559440559440559,0.00699300699300699,0.6925
sub039,close,right,0.848275862068966,0.137931034482759,0.0137931034482759,0.694166666666667
