suj,sample_size,perc_trials,bin,rt,corr
5sub029,n=05,060 %,b2,1.30601501464844,0.634146341463415
5sub029,n=05,060 %,b3,1.22498202323914,0.707317073170732
5sub029,n=05,060 %,b4,1.35368514060974,0.829268292682927
5sub029,n=05,060 %,b5,1.44117403030396,0.780487804878049
5sub021,n=05,060 %,b1,0.886211037635803,0.80952380952381
5sub021,n=05,060 %,b2,1.03718149662018,0.904761904761905
5sub021,n=05,060 %,b3,0.994838356971741,0.833333333333333
5sub021,n=05,060 %,b4,0.953795909881592,0.857142857142857
5sub021,n=05,060 %,b5,0.917713522911072,0.833333333333333
5sub014,n=05,060 %,b1,0.750301837921143,0.75609756097561
5sub014,n=05,060 %,b2,1.07206201553345,0.682926829268293
5sub014,n=05,060 %,b3,0.898883104324341,0.804878048780488
5sub014,n=05,060 %,b4,1.02208089828491,0.731707317073171
5sub014,n=05,060 %,b5,0.920003890991211,0.707317073170732
5sub032,n=05,070 %,b1,0.865607142448425,0.777777777777778
5sub032,n=05,070 %,b2,0.819728970527649,0.833333333333333
5sub032,n=05,070 %,b3,0.860926151275635,0.722222222222222
5sub032,n=05,070 %,b4,0.785024523735046,0.740740740740741
5sub032,n=05,070 %,b5,0.889072060585022,0.703703703703704
5sub028,n=05,070 %,b1,0.892014980316162,0.803571428571429
5sub028,n=05,070 %,b2,0.924137592315674,0.803571428571429
5sub028,n=05,070 %,b3,0.858994483947754,0.839285714285714
5sub028,n=05,070 %,b4,0.858357906341553,0.839285714285714
5sub028,n=05,070 %,b5,0.961114048957825,0.732142857142857
5sub029,n=05,070 %,b1,1.29201757907867,0.645833333333333
5sub029,n=05,070 %,b2,1.46221804618835,0.645833333333333
5sub029,n=05,070 %,b3,1.2691890001297,0.708333333333333
5sub029,n=05,070 %,b4,1.27340185642242,0.833333333333333
5sub029,n=05,070 %,b5,1.357217669487,0.708333333333333
5sub021,n=05,070 %,b1,0.921211957931519,0.816326530612245
5sub021,n=05,070 %,b2,0.971601963043213,0.918367346938776
5sub021,n=05,070 %,b3,0.999580860137939,0.836734693877551
5sub021,n=05,070 %,b4,0.950738906860352,0.897959183673469
5sub021,n=05,070 %,b5,0.917178153991699,0.836734693877551
5sub014,n=05,070 %,b1,0.776721954345703,0.729166666666667
5sub014,n=05,070 %,b2,1.0605400800705,0.708333333333333
5sub014,n=05,070 %,b3,0.950068593025208,0.729166666666667
5sub014,n=05,070 %,b4,0.962767124176025,0.770833333333333
5sub014,n=05,070 %,b5,0.932600378990173,0.770833333333333
5sub032,n=05,080 %,b1,0.82166862487793,0.758064516129032
5sub032,n=05,080 %,b2,0.935668468475342,0.82258064516129
5sub032,n=05,080 %,b3,0.830936074256897,0.709677419354839
5sub032,n=05,080 %,b4,0.804135084152222,0.741935483870968
5sub032,n=05,080 %,b5,0.833576560020447,0.709677419354839
5sub028,n=05,080 %,b1,0.885533928871155,0.8125
5sub028,n=05,080 %,b2,0.944648504257202,0.75
5sub028,n=05,080 %,b3,0.858994483947754,0.828125
5sub028,n=05,080 %,b4,0.845882892608643,0.890625
5sub028,n=05,080 %,b5,0.945651531219482,0.703125
5sub029,n=05,080 %,b1,1.49313402175903,0.709090909090909
5sub029,n=05,080 %,b2,1.40428590774536,0.654545454545455
5sub029,n=05,080 %,b3,1.20347905158997,0.709090909090909
5sub029,n=05,080 %,b4,1.32110095024109,0.818181818181818
5sub029,n=05,080 %,b5,1.4016330242157,0.690909090909091
5sub021,n=05,080 %,b1,0.92078697681427,0.803571428571429
5sub021,n=05,080 %,b2,0.920180082321167,0.910714285714286
5sub021,n=05,080 %,b3,0.994838356971741,0.839285714285714
5sub021,n=05,080 %,b4,1.01664590835571,0.910714285714286
5sub021,n=05,080 %,b5,0.887847423553467,0.821428571428571
5sub014,n=05,080 %,b1,0.803142070770264,0.727272727272727
5sub014,n=05,080 %,b2,1.06027007102966,0.727272727272727
5sub014,n=05,080 %,b3,0.950868129730225,0.727272727272727
5sub014,n=05,080 %,b4,0.983967065811157,0.8
5sub014,n=05,080 %,b5,0.931686878204346,0.8
5sub032,n=05,090 %,b1,0.87181282043457,0.739130434782609
5sub032,n=05,090 %,b2,0.880280017852783,0.855072463768116
5sub032,n=05,090 %,b3,0.830868005752563,0.710144927536232
5sub032,n=05,090 %,b4,0.798202037811279,0.739130434782609
5sub032,n=05,090 %,b5,0.849135875701904,0.695652173913043
5sub028,n=05,090 %,b1,0.881393432617188,0.777777777777778
