sub,eye,measure,window,peak,compare,cond,value
sub007,closed,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.618046501757088
sub007,closed,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.609224934372741
sub007,closed,somatovisual balance,500pre,corinne,rt,fast,0.654549697474038
sub007,closed,somatovisual balance,500pre,corinne,rt,slow,0.560923473498093
sub008,open,visual power,500pre,corinne,accuracy_e,correct_e,0.687924268779783
sub008,open,visual power,500pre,corinne,accuracy_e,incorrect_e,0.189208450656272
sub008,open,visual power,500pre,corinne,rt,fast,0.105784559572837
sub008,open,visual power,500pre,corinne,rt,slow,0.227352820395867
sub008,open,laterilsation index,500pre,corinne,accuracy_e,correct_e,-0.0219456162517928
sub008,open,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.0744054242808604
sub008,open,laterilsation index,500pre,corinne,rt,fast,-0.024362485896882
sub008,open,laterilsation index,500pre,corinne,rt,slow,-0.0217570070412553
sub008,open,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.932047726243341
sub008,open,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.934245527634132
sub008,open,somatovisual balance,500pre,corinne,rt,fast,0.933988496092494
sub008,open,somatovisual balance,500pre,corinne,rt,slow,0.935083640695553
sub008,closed,visual power,500pre,corinne,accuracy_e,correct_e,-0.616089365785003
sub008,closed,visual power,500pre,corinne,accuracy_e,incorrect_e,-0.487669790562109
sub008,closed,visual power,500pre,corinne,rt,fast,-0.433957399248282
sub008,closed,visual power,500pre,corinne,rt,slow,-0.464169087998105
sub008,closed,laterilsation index,500pre,corinne,accuracy_e,correct_e,-0.0363032611372068
sub008,closed,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.0393281878136894
sub008,closed,laterilsation index,500pre,corinne,rt,fast,0.113920488646769
sub008,closed,laterilsation index,500pre,corinne,rt,slow,0.0198286169483151
sub008,closed,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.894396749252477
sub008,closed,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.931066360308897
sub008,closed,somatovisual balance,500pre,corinne,rt,fast,0.946239470415131
sub008,closed,somatovisual balance,500pre,corinne,rt,slow,0.93648170614852
sub009,open,visual power,500pre,corinne,accuracy_e,correct_e,-0.00630160599073329
sub009,open,visual power,500pre,corinne,accuracy_e,incorrect_e,-0.0903405376751476
sub009,open,visual power,500pre,corinne,rt,fast,-0.0294363196468825
sub009,open,visual power,500pre,corinne,rt,slow,-0.112690110628181
sub009,open,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.103121103338522
sub009,open,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.0253851339773716
sub009,open,laterilsation index,500pre,corinne,rt,fast,0.144354610243961
sub009,open,laterilsation index,500pre,corinne,rt,slow,-0.0284420057326677
sub009,open,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.13026289488441
sub009,open,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.0836440581560007
sub009,open,somatovisual balance,500pre,corinne,rt,fast,0.145201301080701
sub009,open,somatovisual balance,500pre,corinne,rt,slow,0.0512922569000458
sub009,closed,visual power,500pre,corinne,accuracy_e,correct_e,-0.277163297378838
sub009,closed,visual power,500pre,corinne,accuracy_e,incorrect_e,-0.283828494198757
sub009,closed,visual power,500pre,corinne,rt,fast,-0.2373612716736
sub009,closed,visual power,500pre,corinne,rt,slow,-0.290361294976566
sub009,closed,laterilsation index,500pre,corinne,accuracy_e,correct_e,-0.0111638089205295
sub009,closed,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.104865625036738
sub009,closed,laterilsation index,500pre,corinne,rt,fast,0.112452630401204
sub009,closed,laterilsation index,500pre,corinne,rt,slow,0.0242704082082636
sub009,closed,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.0957256488148756
sub009,closed,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.171156922641146
sub009,closed,somatovisual balance,500pre,corinne,rt,fast,0.168090719074462
sub009,closed,somatovisual balance,500pre,corinne,rt,slow,0.111354872169887
sub010,open,visual power,500pre,corinne,accuracy_e,correct_e,0.653595298781271
sub010,open,visual power,500pre,corinne,accuracy_e,incorrect_e,0.0888604655827416
sub010,open,visual power,500pre,corinne,rt,fast,0.526787674899969
sub010,open,visual power,500pre,corinne,rt,slow,0.27866928050968
sub010,open,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.00501609099628444
sub010,open,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.263605190671881
sub010,open,laterilsation index,500pre,corinne,rt,fast,0.0791747760444253
sub010,open,laterilsation index,500pre,corinne,rt,slow,0.0268206801885822
sub010,open,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.766286632396821
sub010,open,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.79023301047003
sub010,open,somatovisual balance,500pre,corinne,rt,fast,0.790254824406891
sub010,open,somatovisual balance,500pre,corinne,rt,slow,0.79202376494926
sub010,closed,visual power,500pre,corinne,accuracy_e,correct_e,-0.292263750437862
sub010,closed,visual power,500pre,corinne,accuracy_e,incorrect_e,-0.35243239775227
sub010,closed,visual power,500pre,corinne,rt,fast,-0.309752387682769
sub010,closed,visual power,500pre,corinne,rt,slow,-0.277709786577306
sub010,closed,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.11968836716215
sub010,closed,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,-0.0619167842301266
sub010,closed,laterilsation index,500pre,corinne,rt,fast,0.328675975880138
sub010,closed,laterilsation index,500pre,corinne,rt,slow,-0.0341139380284328
sub010,closed,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.875284085532899
sub010,closed,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.827755140155943
sub010,closed,somatovisual balance,500pre,corinne,rt,fast,0.871937851108424
sub010,closed,somatovisual balance,500pre,corinne,rt,slow,0.841771052390514
sub011,open,visual power,500pre,corinne,accuracy_e,correct_e,0.723910743154048
sub011,open,visual power,500pre,corinne,accuracy_e,incorrect_e,1.22169145862611
sub011,open,visual power,500pre,corinne,rt,fast,1.25465387572194
sub011,open,visual power,500pre,corinne,rt,slow,1.42990728277692
sub011,open,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.0628910586723836
sub011,open,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.224756612134053
sub011,open,laterilsation index,500pre,corinne,rt,fast,-0.0697260499573042
sub011,open,laterilsation index,500pre,corinne,rt,slow,0.0599347512723152
sub011,open,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.818601765538172
sub011,open,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.821657929022848
sub011,open,somatovisual balance,500pre,corinne,rt,fast,0.78133835656959
sub011,open,somatovisual balance,500pre,corinne,rt,slow,0.81377336639357
sub011,closed,visual power,500pre,corinne,accuracy_e,correct_e,-0.493993037404819
sub011,closed,visual power,500pre,corinne,accuracy_e,incorrect_e,-0.360922757696056
sub011,closed,visual power,500pre,corinne,rt,fast,-0.375427370395658
sub011,closed,visual power,500pre,corinne,rt,slow,-0.443912761313929
sub011,closed,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.0280763536670394
sub011,closed,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.183782711976504
sub011,closed,laterilsation index,500pre,corinne,rt,fast,-0.0109298345976505
sub011,closed,laterilsation index,500pre,corinne,rt,slow,0.0434497481872094
sub011,closed,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.771151137078319
sub011,closed,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.837462681558067
sub011,closed,somatovisual balance,500pre,corinne,rt,fast,0.792248339854445
sub011,closed,somatovisual balance,500pre,corinne,rt,slow,0.798625881923766
sub012,open,visual power,500pre,corinne,accuracy_e,correct_e,0.0209023090745269
sub012,open,visual power,500pre,corinne,accuracy_e,incorrect_e,0.383237809676876
sub012,open,visual power,500pre,corinne,rt,fast,0.315420130389367
sub012,open,visual power,500pre,corinne,rt,slow,0.240422958965914
sub012,open,laterilsation index,500pre,corinne,accuracy_e,correct_e,-0.0784166103552143
sub012,open,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,-0.00516655302720073
sub012,open,laterilsation index,500pre,corinne,rt,fast,0.0383752786462253
sub012,open,laterilsation index,500pre,corinne,rt,slow,0.0717160200757809
sub012,open,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.868625959910384
sub012,open,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.865491806384668
sub012,open,somatovisual balance,500pre,corinne,rt,fast,0.876492360404826
sub012,open,somatovisual balance,500pre,corinne,rt,slow,0.869874195363388
sub012,closed,visual power,500pre,corinne,accuracy_e,correct_e,-0.309284899948982
sub012,closed,visual power,500pre,corinne,accuracy_e,incorrect_e,-0.265186473008985
sub012,closed,visual power,500pre,corinne,rt,fast,-0.208424625848595
sub012,closed,visual power,500pre,corinne,rt,slow,-0.22876513981978
sub012,closed,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.112964554320598
sub012,closed,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,-0.144997973938659
sub012,closed,laterilsation index,500pre,corinne,rt,fast,0.061615780873137
sub012,closed,laterilsation index,500pre,corinne,rt,slow,0.087916459084575
sub012,closed,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.862361845608986
sub012,closed,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.842033960755808
sub012,closed,somatovisual balance,500pre,corinne,rt,fast,0.866512064127906
sub012,closed,somatovisual balance,500pre,corinne,rt,slow,0.874480702161549
sub017,open,visual power,500pre,corinne,accuracy_e,correct_e,0.621766667792047
sub017,open,visual power,500pre,corinne,accuracy_e,incorrect_e,1.53381513730187
sub017,open,visual power,500pre,corinne,rt,fast,1.1777833967503
sub017,open,visual power,500pre,corinne,rt,slow,0.546031009804277
sub017,open,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.113157497927083
sub017,open,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.0237444868608401
sub017,open,laterilsation index,500pre,corinne,rt,fast,-0.0456015796037574
sub017,open,laterilsation index,500pre,corinne,rt,slow,0.0950985141176398
sub017,open,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.563510190898264
sub017,open,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.565436175316541
sub017,open,somatovisual balance,500pre,corinne,rt,fast,0.514567695434007
sub017,open,somatovisual balance,500pre,corinne,rt,slow,0.528355841238763
sub017,closed,visual power,500pre,corinne,accuracy_e,correct_e,-0.35136345095957
sub017,closed,visual power,500pre,corinne,accuracy_e,incorrect_e,-0.576491422526684
sub017,closed,visual power,500pre,corinne,rt,fast,-0.351904439745807
sub017,closed,visual power,500pre,corinne,rt,slow,-0.346530490028666
sub017,closed,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.013315472530134
sub017,closed,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.0350936819969396
sub017,closed,laterilsation index,500pre,corinne,rt,fast,0.0870635007651791
sub017,closed,laterilsation index,500pre,corinne,rt,slow,-0.0515180168044218
sub017,closed,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.625947947319376
sub017,closed,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.605386846173716
