sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,open,somato lateralisation index,max,incorrect,accuracy,500pre,source,beta,-0.0980274969885592
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,beta,0.0568937509840003
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,beta,-0.0980274969885592
sub001,open,somato lateralisation index,max,fast,rt,500pre,source,beta,0.00993029976413818
sub001,open,somato lateralisation index,max,slow,rt,500pre,source,beta,0.0109462931280843
sub001,open,somatovisual balance,max-v1,correct,accuracy,500pre,source,beta,-0.980056359578823
sub001,open,somatovisual balance,max-v1,incorrect,accuracy,500pre,source,beta,-0.985556382554647
sub001,open,somatovisual balance,max-v1,correct_e,accuracy_e,500pre,source,beta,-0.978307815760107
sub001,open,somatovisual balance,max-v1,incorrect_e,accuracy_e,500pre,source,beta,-0.985556382554647
sub001,open,somatovisual balance,max-v1,fast,rt,500pre,source,beta,-0.978963164250796
sub001,open,somatovisual balance,max-v1,slow,rt,500pre,source,beta,-0.978916540987554
sub001,open,somatovisual balance,max-v2,correct,accuracy,500pre,source,beta,-0.953727666597488
sub001,open,somatovisual balance,max-v2,incorrect,accuracy,500pre,source,beta,-0.964850359264932
sub001,open,somatovisual balance,max-v2,correct_e,accuracy_e,500pre,source,beta,-0.957369881300186
sub001,open,somatovisual balance,max-v2,incorrect_e,accuracy_e,500pre,source,beta,-0.964850359264932
sub001,open,somatovisual balance,max-v2,fast,rt,500pre,source,beta,-0.95190367913317
sub001,open,somatovisual balance,max-v2,slow,rt,500pre,source,beta,-0.952656440597637
sub001,open,somatovisual balance,max-v3,correct,accuracy,500pre,source,beta,-0.70952027807818
sub001,open,somatovisual balance,max-v3,incorrect,accuracy,500pre,source,beta,-0.79319388322584
sub001,open,somatovisual balance,max-v3,correct_e,accuracy_e,500pre,source,beta,-0.639104240072818
sub001,open,somatovisual balance,max-v3,incorrect_e,accuracy_e,500pre,source,beta,-0.79319388322584
sub001,open,somatovisual balance,max-v3,fast,rt,500pre,source,beta,-0.723461316966775
sub001,open,somatovisual balance,max-v3,slow,rt,500pre,source,beta,-0.681564819198673
sub001,closed,visual power,v1,correct,accuracy,500pre,source,beta,0.148314909671437
sub001,closed,visual power,v1,incorrect,accuracy,500pre,source,beta,0.0736747515195444
sub001,closed,visual power,v1,correct_e,accuracy_e,500pre,source,beta,-0.275167995491623
sub001,closed,visual power,v1,incorrect_e,accuracy_e,500pre,source,beta,0.0736747515195444
sub001,closed,visual power,v1,fast,rt,500pre,source,beta,-0.0284946403997868
sub001,closed,visual power,v1,slow,rt,500pre,source,beta,0.163254153558149
