sub,eye,bin,perc,rt
sub006,closed,b4,0.672413793103448,0.864702380952381
sub006,closed,b5,0.706896551724138,0.915292397660819
sub007,open,b1,0.666666666666667,0.652938596491228
sub007,open,b2,0.736842105263158,0.622850877192982
sub007,open,b3,0.631578947368421,0.660204678362573
sub007,open,b4,0.701754385964912,0.677105263157895
sub007,open,b5,0.649122807017544,0.674454545454545
sub007,closed,b1,0.7,0.668622448979592
sub007,closed,b2,0.68,0.64828125
sub007,closed,b3,0.68,0.663351063829787
sub007,closed,b4,0.68,0.715381944444445
sub007,closed,b5,0.62,0.681829710144928
sub008,open,b1,0.767857142857143,0.72179012345679
sub008,open,b2,0.946428571428571,0.690133928571429
sub008,open,b3,0.946428571428571,0.687976190476191
sub008,open,b4,0.875,0.740714285714286
sub008,open,b5,0.803571428571429,0.678333333333333
sub008,closed,b1,0.905660377358491,0.669198113207547
sub008,closed,b2,0.905660377358491,0.671194968553459
sub008,closed,b3,0.943396226415094,0.725240384615385
sub008,closed,b4,0.943396226415094,0.693789308176101
sub008,closed,b5,0.981132075471698,0.673270440251572
sub009,open,b1,0.647058823529412,0.644716666666667
sub009,open,b2,0.627450980392157,0.639084967320261
sub009,open,b3,0.627450980392157,0.687777777777778
sub009,open,b4,0.627450980392157,0.706166666666667
sub009,open,b5,0.745098039215686,0.689433333333333
sub009,closed,b1,0.659090909090909,0.653837209302325
sub009,closed,b2,0.681818181818182,0.761287878787879
sub009,closed,b3,0.659090909090909,0.665700757575758
sub009,closed,b4,0.409090909090909,0.744886363636364
sub009,closed,b5,0.636363636363636,0.715368217054264
sub010,open,b1,0.654545454545455,0.839248366013072
sub010,open,b2,0.709090909090909,0.797621212121212
sub010,open,b3,0.636363636363636,0.853688271604938
sub010,open,b4,0.709090909090909,0.808015151515152
sub010,open,b5,0.745454545454545,0.788590909090909
sub010,closed,b1,0.722222222222222,0.803809523809524
sub010,closed,b2,0.694444444444444,0.893480392156863
sub010,closed,b3,0.805555555555556,0.793238095238095
sub010,closed,b4,0.638888888888889,0.823981481481482
sub010,closed,b5,0.75,0.888032407407407
sub011,open,b1,0.925925925925926,0.597700617283951
sub011,open,b2,0.888888888888889,0.616435185185185
sub011,open,b3,0.907407407407407,0.596296296296296
