sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,closed,somatovisual balance,max-vtpm V3,correct_e,accuracy_e,500pre,source,alpha,0.221960088903351
sub001,closed,somatovisual balance,max-vtpm V3,incorrect_e,accuracy_e,500pre,source,alpha,0.182394717045494
sub001,closed,somatovisual balance,max-vtpm V3,fast,rt,500pre,source,alpha,0.192729820215719
sub001,closed,somatovisual balance,max-vtpm V3,slow,rt,500pre,source,alpha,0.139369117983975
sub001,open,visual power,vtpm V1,correct,accuracy,500pre,source,beta,0.222246263567091
sub001,open,visual power,vtpm V1,incorrect,accuracy,500pre,source,beta,-0.162379999218466
sub001,open,visual power,vtpm V1,correct_e,accuracy_e,500pre,source,beta,0.0403198653345644
sub001,open,visual power,vtpm V1,incorrect_e,accuracy_e,500pre,source,beta,-0.162379999218466
sub001,open,visual power,vtpm V1,fast,rt,500pre,source,beta,0.262799042436778
sub001,open,visual power,vtpm V1,slow,rt,500pre,source,beta,0.178707577580527
sub001,open,visual power,vtpm V2,correct,accuracy,500pre,source,beta,0.125234073115839
sub001,open,visual power,vtpm V2,incorrect,accuracy,500pre,source,beta,-0.225496181539585
sub001,open,visual power,vtpm V2,correct_e,accuracy_e,500pre,source,beta,0.318883266253585
sub001,open,visual power,vtpm V2,incorrect_e,accuracy_e,500pre,source,beta,-0.225496181539585
sub001,open,visual power,vtpm V2,fast,rt,500pre,source,beta,0.090860173055732
sub001,open,visual power,vtpm V2,slow,rt,500pre,source,beta,0.151061206018854
sub001,open,visual power,vtpm V3,correct,accuracy,500pre,source,beta,0.124893426123504
sub001,open,visual power,vtpm V3,incorrect,accuracy,500pre,source,beta,-0.110354663938863
sub001,open,visual power,vtpm V3,correct_e,accuracy_e,500pre,source,beta,-0.126706146689051
sub001,open,visual power,vtpm V3,incorrect_e,accuracy_e,500pre,source,beta,-0.110354663938863
sub001,open,visual power,vtpm V3,fast,rt,500pre,source,beta,0.129728592704855
sub001,open,visual power,vtpm V3,slow,rt,500pre,source,beta,0.120080497447502
sub001,open,somato lateralisation index,max,correct,accuracy,500pre,source,beta,0.0534598273316025
sub001,open,somato lateralisation index,max,incorrect,accuracy,500pre,source,beta,-0.367699684958206
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,beta,0.141945110030806
