suj,win,bin,rt,corr,band,pow_alpha,pow_beta,pow_theta,pow_gamma,avg_alpha,avg_beta,avg_theta,avg_gamma,norm_alpha,norm_beta,norm_theta,norm_gamma
sub020,preGab1,b4,0.743788003921509,0.935064935064935,beta,1.11945067756965e-26,8.80510381407541e-28,1.71505129488636e-27,3.44103129577898e-29,9.170750711032e-27,7.45421693265699e-28,1.69389818443195e-27,3.59516806330322e-29,1.22067507104189,1.18122451943948,1.0124878287543,0.957126686483019
sub020,preGab1,b5,0.832028865814209,0.87012987012987,beta,1.26927715449801e-26,1.42208314510935e-27,2.2763454750616e-27,3.79861344547027e-29,9.170750711032e-27,7.45421693265699e-28,1.69389818443195e-27,3.59516806330322e-29,1.38404934829504,1.90775658658281,1.34385023609018,1.05658855958465
sub020,preGab1,b1,0.932705163955688,0.935064935064935,theta,6.72533812641821e-27,5.66181541641551e-28,6.19485500659487e-28,3.46657242541869e-29,9.170750711032e-27,7.45421693265699e-28,1.69389818443195e-27,3.59516806330322e-29,0.733346520730078,0.759545297321714,0.365715900963216,0.964230980132158
sub020,preGab1,b2,0.788059949874878,0.896103896103896,theta,8.05979644992474e-27,6.98448381026059e-28,1.10559962667769e-27,3.46375525854345e-29,9.170750711032e-27,7.45421693265699e-28,1.69389818443195e-27,3.59516806330322e-29,0.878858961920006,0.936984243061335,0.652695443468142,0.963447382028915
sub020,preGab1,b3,0.811369895935059,0.974025974025974,theta,1.06592968343832e-26,7.29783007745128e-28,1.53721656007721e-27,3.67454295410069e-29,9.170750711032e-27,7.45421693265699e-28,1.69389818443195e-27,3.59516806330322e-29,1.16231453348312,0.979020350947854,0.907502336448114,1.02207821425865
sub020,preGab1,b4,0.792341947555542,0.857142857142857,theta,8.77718964276458e-27,8.34622656552162e-28,2.05271965493167e-27,3.58406055699204e-29,9.170750711032e-27,7.45421693265699e-28,1.69389818443195e-27,3.59516806330322e-29,0.957085185208013,1.11966510244111,1.21183178174315,0.996910434751422
sub020,preGab1,b5,0.810896873474121,0.922077922077922,theta,1.16321325016693e-26,8.98072879363593e-28,3.15446957981369e-27,3.78690912146121e-29,9.170750711032e-27,7.45421693265699e-28,1.69389818443195e-27,3.59516806330322e-29,1.26839479865878,1.20478500622799,1.86225453737737,1.05333298882885
sub020,preGab1,b1,0.792341947555542,0.935064935064935,gamma,9.25879985085406e-27,7.66201391456155e-28,1.65517407481332e-27,2.07474814854438e-29,9.170750711032e-27,7.45421693265699e-28,1.69389818443195e-27,3.59516806330322e-29,1.00960108311702,1.02787643340432,0.977139057131928,0.577093507733855
sub020,preGab1,b2,0.788059949874878,0.883116883116883,gamma,9.88849621312439e-27,7.57910576286792e-28,1.56630727851178e-27,2.63808322969346e-29,9.170750711032e-27,7.45421693265699e-28,1.69389818443195e-27,3.59516806330322e-29,1.07826463990881,1.01675411801658,0.924676165844669,0.733785787824786
sub020,preGab1,b3,0.838264942169189,0.883116883116883,gamma,9.72209277774381e-27,6.74268022635046e-28,1.68679495244334e-27,3.27109665751502e-29,9.170750711032e-27,7.45421693265699e-28,1.69389818443195e-27,3.59516806330322e-29,1.06011962205543,0.904545747362238,0.995806576774273,0.909859177628974
sub020,preGab1,b4,0.852602005004883,0.922077922077922,gamma,8.12074721513698e-27,7.89243676959398e-28,1.66568958849106e-27,4.18333868442035e-29,9.170750711032e-27,7.45421693265699e-28,1.69389818443195e-27,3.59516806330322e-29,0.88550517520535,1.05878817867738,0.983346935370643,1.16360031318723
sub020,preGab1,b5,0.839102983474731,0.961038961038961,gamma,8.86361749830078e-27,7.39484798991101e-28,1.89552502790026e-27,5.80857359634288e-29,9.170750711032e-27,7.45421693265699e-28,1.69389818443195e-27,3.59516806330322e-29,0.966509479713394,0.99203552253948,1.11903126487849,1.61566121362515
sub020,preCue2,b1,0.839102983474731,0.948051948051948,alpha,2.587918639475e-27,5.96298580965327e-28,1.182776547451e-27,3.45631979954743e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,0.21808109110116,0.722872683196964,0.753357697687054,0.975841636772186
sub020,preCue2,b2,0.729169130325317,0.935064935064935,alpha,5.42684281766006e-27,7.52710823891348e-28,1.62289549841292e-27,3.63770518826895e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,0.457314146147147,0.912485976500044,1.03368706363506,1.02705316373787
sub020,preCue2,b3,0.848552942276001,0.922077922077922,alpha,8.67587974122579e-27,7.95125727803022e-28,1.52083757244374e-27,3.65123206257959e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,0.731106956520394,0.963904135752641,0.968682287961622,1.03087228000409
sub020,preCue2,b4,0.891263008117676,0.831168831168831,alpha,1.42225207442566e-26,9.07859542823583e-28,1.56350945966194e-27,3.46883604155643e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,1.19851636554756,1.10056754222766,0.995861719934591,0.979375415703722
sub020,preCue2,b5,0.771874904632568,0.948051948051948,alpha,2.84206992923889e-26,1.0725115814702e-27,1.96001385514e-27,3.4953367443271e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,2.39498144068374,1.30016966232269,1.24841123078167,0.986857503782126
sub020,preCue2,b1,0.831506013870239,0.948051948051948,beta,6.83448853612819e-27,3.52893940573392e-28,9.92833131406556e-28,3.37702796704165e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,0.5759349209601,0.427801436812528,0.632375137701027,0.953454740853225
sub020,preCue2,b2,0.760525941848755,0.961038961038961,beta,1.02540300398277e-26,5.40310821992282e-28,1.33554730738321e-27,3.55675082797461e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,0.864095966990426,0.655000608959405,0.850663505977273,1.00419687727277
sub020,preCue2,b3,0.857557058334351,0.883116883116883,beta,1.15634411342304e-26,7.18594682722349e-28,1.56804948017136e-27,3.68735690809019e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,0.974438616798474,0.87112812777393,0.9987534406115,1.04107160483966
sub020,preCue2,b4,0.790463924407959,0.857142857142857,beta,1.39401744939693e-26,9.69777784132729e-28,1.81357204505767e-27,3.65638232187011e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,1.17472335390038,1.17562894043109,1.15513658382785,1.03232638082443
sub020,preCue2,b5,0.869462966918945,0.935064935064935,beta,1.67417270308507e-26,1.54292902753273e-27,2.14003096909079e-27,3.43191181130293e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,1.41080714135062,1.87044088602304,1.36307133188234,0.968950396209913
sub020,preCue2,b1,0.869462966918945,0.909090909090909,theta,9.68469036834561e-27,6.02596500936163e-28,5.88141647471152e-28,3.54738997007631e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,0.816118331654416,0.730507439430173,0.374610942707328,1.00155397516219
sub020,preCue2,b2,0.820894002914429,0.935064935064935,theta,1.09709599614653e-26,7.30317167159036e-28,1.00284431586512e-27,3.48880425643642e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,0.924510872300398,0.88533890078091,0.638751661560145,0.985013150815635
sub020,preCue2,b3,0.847743034362793,0.909090909090909,theta,1.08189694210297e-26,8.12727855748094e-28,1.329641434508e-27,3.55381332148782e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,0.91170279464693,0.985242602527175,0.846901819290392,1.00336751503074
sub020,preCue2,b4,0.79027795791626,0.948051948051948,theta,1.31054168763239e-26,9.39148783526404e-28,1.84961276918173e-27,3.54819312469694e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,1.10437923670741,1.13849843474367,1.17809236275972,1.00178073419058
sub020,preCue2,b5,0.767366170883179,0.883116883116883,theta,1.47538246078418e-26,1.03971594958379e-27,3.07979276608358e-27,3.57122916358202e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,1.24328876469085,1.26041262251807,1.96164321368242,1.00828462480085
sub020,preCue2,b1,0.832028865814209,0.935064935064935,gamma,1.22484857509765e-26,8.77390878339301e-28,1.50244033847025e-27,2.2000165872093e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,1.03216658211939,1.06363140662002,0.956964353699277,0.62114269277669
