sub,eye,bin,perc,perc_i,rt
sub017,closed,b1,0.866666666666667,0.123809523809524,0.68988782051282
sub017,closed,b2,0.771428571428571,0.219047619047619,0.71880608974359
sub018,open,b1,0.759398496240602,0.240601503759398,0.590281954887218
sub018,open,b2,0.62406015037594,0.37593984962406,0.567587719298245
sub018,closed,b1,0.655172413793103,0.317241379310345,0.627463768115942
sub018,closed,b2,0.503448275862069,0.448275862068966,0.624343065693431
sub020,open,b1,0.687943262411348,0.312056737588652,0.546412529550827
sub020,open,b2,0.765957446808511,0.234042553191489,0.547771867612293
sub020,closed,b1,0.706293706293706,0.286713286713287,0.547208624708625
sub020,closed,b2,0.65034965034965,0.342657342657343,0.5431279342723
sub021,open,b1,0.563492063492063,0.404761904761905,0.609856557377049
sub021,open,b2,0.682539682539683,0.317460317460317,0.59005291005291
sub021,closed,b1,0.642857142857143,0.321428571428571,0.626218553459119
sub021,closed,b2,0.607142857142857,0.357142857142857,0.578065749235474
sub022,open,b1,0.763358778625954,0.229007633587786,0.541474358974359
sub022,open,b2,0.809160305343511,0.190839694656489,0.551876590330789
sub022,closed,b1,0.834586466165414,0.165413533834586,0.577412280701754
sub022,closed,b2,0.796992481203007,0.203007518796992,0.596804511278195
sub023,open,b1,0.855172413793103,0.144827586206897,0.644896551724138
sub023,open,b2,0.848275862068966,0.137931034482759,0.654749417249417
sub023,closed,b1,0.871621621621622,0.121621621621622,0.696530612244898
sub023,closed,b2,0.837837837837838,0.155405405405405,0.713837868480726
sub024,open,b1,0.806896551724138,0.179310344827586,0.633805361305361
sub024,open,b2,0.855172413793103,0.144827586206897,0.623172413793103
sub024,closed,b1,0.700787401574803,0.267716535433071,0.729159891598916
sub024,closed,b2,0.68503937007874,0.291338582677165,0.710954301075269
sub025,open,b1,0.533333333333333,0.466666666666667,0.818395833333333
sub025,open,b2,0.575,0.408333333333333,0.790670903954802
sub025,closed,b1,0.627118644067797,0.364406779661017,0.811723646723647
sub025,closed,b2,0.635593220338983,0.364406779661017,0.840776836158192
sub026,open,b1,0.730496453900709,0.24822695035461,0.800525362318841
sub026,open,b2,0.75886524822695,0.219858156028369,0.810537439613527
sub026,closed,b1,0.783582089552239,0.194029850746269,0.851749363867684
sub026,closed,b2,0.76865671641791,0.186567164179104,0.76724609375
sub027,open,b1,0.733812949640288,0.258992805755396,0.693848920863309
sub027,open,b2,0.755395683453237,0.244604316546763,0.704478417266187
sub027,closed,b1,0.759398496240602,0.240601503759398,0.675714285714286
sub027,closed,b2,0.714285714285714,0.285714285714286,0.734755639097744
sub028,open,b1,0.816901408450704,0.169014084507042,0.840982142857143
sub028,open,b2,0.767605633802817,0.197183098591549,0.827262773722628
sub028,closed,b1,0.737588652482269,0.219858156028369,0.87641975308642
sub028,closed,b2,0.780141843971631,0.177304964539007,0.833981481481482
sub029,open,b1,0.755244755244755,0.216783216783217,0.839607142857143
sub029,open,b2,0.797202797202797,0.181818181818182,0.83439880952381
sub029,closed,b1,0.668965517241379,0.241379310344828,0.912706766917293
sub029,closed,b2,0.620689655172414,0.23448275862069,0.927513333333333
sub030,open,b1,0.76158940397351,0.231788079470199,0.635866666666667
sub030,open,b2,0.76158940397351,0.211920529801325,0.658072562358277
sub030,closed,b1,0.829931972789116,0.170068027210884,0.620107709750567
sub030,closed,b2,0.775510204081633,0.217687074829932,0.667448630136986
sub031,open,b1,0.681818181818182,0.318181818181818,0.742058080808081
sub031,open,b2,0.704545454545455,0.28030303030303,0.691371794871795
sub031,closed,b1,0.618320610687023,0.343511450381679,0.792169312169312
sub031,closed,b2,0.641221374045801,0.32824427480916,0.78490157480315
sub032,open,b1,0.605442176870748,0.374149659863946,0.687137931034483
sub032,open,b2,0.625850340136054,0.36734693877551,0.681820776255708
sub032,closed,b1,0.683823529411765,0.316176470588235,0.658296568627451
sub032,closed,b2,0.625,0.352941176470588,0.676334586466165
sub033,open,b1,0.864285714285714,0.1,0.73438112745098
sub033,open,b2,0.892857142857143,0.0928571428571429,0.746153381642512
sub033,closed,b1,0.757575757575758,0.21969696969697,0.737648578811369
sub033,closed,b2,0.840909090909091,0.136363636363636,0.725206718346253
sub034,open,b1,0.835714285714286,0.164285714285714,0.607196428571429
sub034,open,b2,0.785714285714286,0.214285714285714,0.625458333333333
sub034,closed,b1,0.783582089552239,0.216417910447761,0.609359452736318
sub034,closed,b2,0.82089552238806,0.17910447761194,0.609490049751244
sub035,open,b1,0.638888888888889,0.361111111111111,0.452138694638695
sub035,open,b2,0.611111111111111,0.388888888888889,0.487251157407407
sub035,closed,b1,0.631944444444444,0.368055555555556,0.538043981481481
sub035,closed,b2,0.569444444444444,0.430555555555556,0.526950231481482
sub036,open,b1,0.775193798449612,0.217054263565891,0.73201171875
sub036,open,b2,0.75968992248062,0.232558139534884,0.766783854166667
sub036,closed,b1,0.778688524590164,0.204918032786885,0.814326388888889
sub036,closed,b2,0.770491803278688,0.229508196721311,0.845758196721311
sub037,open,b1,0.793650793650794,0.206349206349206,0.72635582010582
sub037,open,b2,0.841269841269841,0.158730158730159,0.692989417989418
sub037,closed,b1,0.721804511278195,0.270676691729323,0.78751282051282
sub037,closed,b2,0.75187969924812,0.225563909774436,0.752493489583333
sub039,open,b1,0.891304347826087,0.0869565217391304,0.732024691358025
sub039,open,b2,0.86231884057971,0.130434782608696,0.698339416058394
sub039,closed,b1,0.9375,0.0486111111111111,0.715750591016549
sub039,closed,b2,0.847222222222222,0.145833333333333,0.706998834498834
