sub,eye,corr,rt,roi,hemi,pow
sub009,close,correct,slow,visual,left,-0.0741296980298252
sub009,close,correct,all,visual,left,-0.0462754935391992
sub009,close,correct,fast,visual,right,0.257786200104866
sub009,close,correct,slow,visual,right,0.430505928659731
sub009,close,correct,all,visual,right,0.3321958884367
sub010,open,incorrect,fast,visual,left,0.651635432474297
sub010,open,incorrect,slow,visual,left,0.144552539846643
sub010,open,incorrect,all,visual,left,0.366267929019803
sub010,open,incorrect,fast,visual,right,1.07932933952358
sub010,open,incorrect,slow,visual,right,0.674937675587615
sub010,open,incorrect,all,visual,right,0.835005110507851
sub010,open,correct,fast,visual,left,0.538961944694243
sub010,open,correct,slow,visual,left,0.500278828259824
sub010,open,correct,all,visual,left,0.520932762278366
sub010,open,correct,fast,visual,right,0.232969011582968
sub010,open,correct,slow,visual,right,0.50633936126646
sub010,open,correct,all,visual,right,0.358738831230003
sub010,close,incorrect,fast,visual,left,-0.172324107057946
sub010,close,incorrect,slow,visual,left,-0.447276154445215
sub010,close,incorrect,all,visual,left,-0.344014721167991
sub010,close,incorrect,fast,visual,right,-0.00312716937145078
sub010,close,incorrect,slow,visual,right,0.182961532514282
sub010,close,incorrect,all,visual,right,0.120748235789972
sub010,close,correct,fast,visual,left,-0.232211154625048
sub010,close,correct,slow,visual,left,-0.212859955837414
sub010,close,correct,all,visual,left,-0.221172506938788
sub010,close,correct,fast,visual,right,-0.0767886367232788
sub010,close,correct,slow,visual,right,0.00868127985866355
sub010,close,correct,all,visual,right,-0.0292073912653817
sub011,open,incorrect,fast,visual,left,0.13404077128781
sub011,open,incorrect,slow,visual,left,1.98403507523929
sub011,open,incorrect,all,visual,left,0.900987204194749
sub011,open,incorrect,fast,visual,right,-0.051293804806739
sub011,open,incorrect,slow,visual,right,1.17431830964907
sub011,open,incorrect,all,visual,right,0.437119563667429
sub011,open,correct,fast,visual,left,0.702571536153981
sub011,open,correct,slow,visual,left,0.467834136414925
sub011,open,correct,all,visual,left,0.576802217120109
sub011,open,correct,fast,visual,right,0.206041411883509
sub011,open,correct,slow,visual,right,0.206376722805898
sub011,open,correct,all,visual,right,0.199608992496453
sub011,close,incorrect,fast,visual,left,0.00280740024065144
sub011,close,incorrect,slow,visual,left,-0.307943136982897
sub011,close,incorrect,all,visual,left,-0.157759776333376
sub011,close,incorrect,fast,visual,right,-0.535307993338608
sub011,close,incorrect,slow,visual,right,0.321472439553884
sub011,close,incorrect,all,visual,right,-0.200290044781834
sub011,close,correct,fast,visual,left,-0.243305375508999
sub011,close,correct,slow,visual,left,-0.189768207933167
