sub,band,stim,cond,bin,acc,rt,sess
"sub$",slow,target,2back,b1,1,497,s1
"sub$",slow,target,2back,b2,1,480.5,s1
"sub$",alpha,target,2back,b1,1,492,s1
"sub$",alpha,target,2back,b2,1,514.5,s1
"sub$",beta,target,2back,b1,1,524,s1
"sub$",beta,target,2back,b2,1,455.5,s1
"sub$",gamma,target,2back,b1,1,442.5,s1
"sub$",gamma,target,2back,b2,1,500,s1
"sub$",slow,first,1back,b1,1,NaN,s2
"sub$",slow,first,1back,b2,1,NaN,s2
"sub$",alpha,first,1back,b1,1,NaN,s2
"sub$",alpha,first,1back,b2,1,NaN,s2
"sub$",beta,first,1back,b1,1,NaN,s2
"sub$",beta,first,1back,b2,1,NaN,s2
"sub$",gamma,first,1back,b1,1,NaN,s2
"sub$",gamma,first,1back,b2,1,NaN,s2
"sub$",slow,target,1back,b1,1,681,s2
"sub$",slow,target,1back,b2,1,579.5,s2
"sub$",alpha,target,1back,b1,1,577,s2
"sub$",alpha,target,1back,b2,1,695.5,s2
"sub$",beta,target,1back,b1,1,623.5,s2
"sub$",beta,target,1back,b2,1,714.5,s2
"sub$",gamma,target,1back,b1,1,681,s2
"sub$",gamma,target,1back,b2,1,579.5,s2
"sub$",slow,first,2back,b1,1,NaN,s2
"sub$",slow,first,2back,b2,1,NaN,s2
"sub$",alpha,first,2back,b1,1,NaN,s2
"sub$",alpha,first,2back,b2,1,NaN,s2
"sub$",beta,first,2back,b1,1,NaN,s2
"sub$",beta,first,2back,b2,1,NaN,s2
"sub$",gamma,first,2back,b1,1,NaN,s2
"sub$",gamma,first,2back,b2,1,NaN,s2
"sub$",slow,target,2back,b1,0.875,620,s2
"sub$",slow,target,2back,b2,1,660.5,s2
"sub$",alpha,target,2back,b1,1,612.5,s2
"sub$",alpha,target,2back,b2,0.875,694,s2
"sub$",beta,target,2back,b1,0.875,598,s2
"sub$",beta,target,2back,b2,1,730,s2
"sub$",gamma,target,2back,b1,1,606,s2
"sub$",gamma,target,2back,b2,0.875,781,s2
"sub&",slow,first,2back,b1,1,NaN,s1
"sub&",slow,first,2back,b2,1,NaN,s1
"sub&",alpha,first,2back,b1,1,NaN,s1
"sub&",alpha,first,2back,b2,1,NaN,s1
"sub&",beta,first,2back,b1,1,NaN,s1
"sub&",beta,first,2back,b2,1,NaN,s1
"sub&",gamma,first,2back,b1,1,NaN,s1
"sub&",gamma,first,2back,b2,1,NaN,s1
"sub&",slow,target,2back,b1,0.8,683,s1
"sub&",slow,target,2back,b2,0.8,722,s1
"sub&",alpha,target,2back,b1,0.8,708.5,s1
"sub&",alpha,target,2back,b2,0.8,729.5,s1
"sub&",beta,target,2back,b1,0.8,668.5,s1
"sub&",beta,target,2back,b2,0.8,728.5,s1
"sub&",gamma,target,2back,b1,0.8,729.5,s1
"sub&",gamma,target,2back,b2,0.8,708.5,s1
"sub&",slow,first,1back,b1,1,NaN,s2
"sub&",slow,first,1back,b2,1,NaN,s2
"sub&",alpha,first,1back,b1,1,NaN,s2
"sub&",alpha,first,1back,b2,1,NaN,s2
"sub&",beta,first,1back,b1,1,NaN,s2
"sub&",beta,first,1back,b2,1,NaN,s2
"sub&",gamma,first,1back,b1,1,NaN,s2
"sub&",gamma,first,1back,b2,1,NaN,s2
"sub&",slow,target,1back,b1,0.6,654.5,s2
"sub&",slow,target,1back,b2,0.7,692,s2
"sub&",alpha,target,1back,b1,0.6,664,s2
"sub&",alpha,target,1back,b2,0.7,643,s2
"sub&",beta,target,1back,b1,0.5,621,s2
