sub,eye,cue,measure,window,compare,cond,value
sub004,open,right,lat,stim500pre,accuracy,incorrect,0.512
sub004,open,right,lat,stim500pre,accuracy_e,correct_e,0.48
sub004,open,right,lat,stim500pre,accuracy_e,incorrect_e,0.512
sub004,open,right,lat,stim500pre,rt,fast,0.444
sub004,open,right,lat,stim500pre,rt,slow,0.442
sub004,open,right,bal_ip_v,stim500pre,accuracy,correct,0.004
sub004,open,right,bal_ip_v,stim500pre,accuracy,incorrect,0.055
sub004,open,right,bal_ip_v,stim500pre,accuracy_e,correct_e,0.07
sub004,open,right,bal_ip_v,stim500pre,accuracy_e,incorrect_e,0.055
sub004,open,right,bal_ip_v,stim500pre,rt,fast,-0.106
sub004,open,right,bal_ip_v,stim500pre,rt,slow,0.102
sub004,open,right,bal_ip_i,stim500pre,accuracy,correct,-0.364
sub004,open,right,bal_ip_i,stim500pre,accuracy,incorrect,-0.396
sub004,open,right,bal_ip_i,stim500pre,accuracy_e,correct_e,-0.385
sub004,open,right,bal_ip_i,stim500pre,accuracy_e,incorrect_e,-0.396
sub004,open,right,bal_ip_i,stim500pre,rt,fast,-0.415
sub004,open,right,bal_ip_i,stim500pre,rt,slow,-0.327
sub004,closed,left,vis,stim500pre,accuracy,correct,2.235
sub004,closed,left,vis,stim500pre,accuracy,incorrect,2.445
sub004,closed,left,vis,stim500pre,accuracy_e,correct_e,1.144
sub004,closed,left,vis,stim500pre,accuracy_e,incorrect_e,2.445
sub004,closed,left,vis,stim500pre,rt,fast,1.022
sub004,closed,left,vis,stim500pre,rt,slow,3.588
sub004,closed,left,lat,stim500pre,accuracy,correct,-0.515
sub004,closed,left,lat,stim500pre,accuracy,incorrect,-0.513
sub004,closed,left,lat,stim500pre,accuracy_e,correct_e,-0.454
sub004,closed,left,lat,stim500pre,accuracy_e,incorrect_e,-0.513
sub004,closed,left,lat,stim500pre,rt,fast,-0.543
sub004,closed,left,lat,stim500pre,rt,slow,-0.47
sub004,closed,left,bal_ip_v,stim500pre,accuracy,correct,-0.016
sub004,closed,left,bal_ip_v,stim500pre,accuracy,incorrect,0.058
sub004,closed,left,bal_ip_v,stim500pre,accuracy_e,correct_e,-0.035
sub004,closed,left,bal_ip_v,stim500pre,accuracy_e,incorrect_e,0.058
sub004,closed,left,bal_ip_v,stim500pre,rt,fast,-0.005
sub004,closed,left,bal_ip_v,stim500pre,rt,slow,-0.057
sub004,closed,left,bal_ip_i,stim500pre,accuracy,correct,0.105
sub004,closed,left,bal_ip_i,stim500pre,accuracy,incorrect,0.136
sub004,closed,left,bal_ip_i,stim500pre,accuracy_e,correct_e,0.07
