sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,closed,auditory power,max,incorrect_e,accuracy_e,500pre,source,beta,-0.0387465633786683
sub001,closed,auditory power,max,fast,rt,500pre,source,beta,0.181993584667767
sub001,closed,auditory power,max,slow,rt,500pre,source,beta,-0.0604173257897069
sub001,closed,somato lateralisation index,max,correct,accuracy,500pre,source,beta,-0.0895679548574042
sub001,closed,somato lateralisation index,max,incorrect,accuracy,500pre,source,beta,-0.227264513626336
sub001,closed,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,beta,-0.0432927975901126
sub001,closed,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,beta,-0.227264513626336
sub001,closed,somato lateralisation index,max,fast,rt,500pre,source,beta,-0.133153183992408
sub001,closed,somato lateralisation index,max,slow,rt,500pre,source,beta,-0.113540491979481
sub001,closed,somatovisual balance,max-Brodmann,correct,accuracy,500pre,source,beta,0.693068015961803
sub001,closed,somatovisual balance,max-Brodmann,incorrect,accuracy,500pre,source,beta,0.804294356179989
sub001,closed,somatovisual balance,max-Brodmann,correct_e,accuracy_e,500pre,source,beta,0.738707984245828
sub001,closed,somatovisual balance,max-Brodmann,incorrect_e,accuracy_e,500pre,source,beta,0.804294356179989
sub001,closed,somatovisual balance,max-Brodmann,fast,rt,500pre,source,beta,0.711165776702736
sub001,closed,somatovisual balance,max-Brodmann,slow,rt,500pre,source,beta,0.680849079901625
sub001,closed,auditory lateralisation index,max,correct,accuracy,500pre,source,beta,-0.0317671645993761
sub001,closed,auditory lateralisation index,max,incorrect,accuracy,500pre,source,beta,0.198343139448501
sub001,closed,auditory lateralisation index,max,correct_e,accuracy_e,500pre,source,beta,-0.0879075789720788
sub001,closed,auditory lateralisation index,max,incorrect_e,accuracy_e,500pre,source,beta,0.198343139448501
sub001,closed,auditory lateralisation index,max,fast,rt,500pre,source,beta,-0.0881536311957044
sub001,closed,auditory lateralisation index,max,slow,rt,500pre,source,beta,0.0759703118966082
sub002,open,visual power,Brodmann,correct,accuracy,500pre,source,alpha,-0.187498059935151
sub002,open,visual power,Brodmann,incorrect,accuracy,500pre,source,alpha,-0.140217741110295
sub002,open,visual power,Brodmann,correct_e,accuracy_e,500pre,source,alpha,-0.212134552404379
sub002,open,visual power,Brodmann,incorrect_e,accuracy_e,500pre,source,alpha,-0.140217741110295
sub002,open,visual power,Brodmann,fast,rt,500pre,source,alpha,-0.253149489049869
sub002,open,visual power,Brodmann,slow,rt,500pre,source,alpha,-0.108836647255002
sub002,open,auditory power,max,correct,accuracy,500pre,source,alpha,-0.166887379286331
sub002,open,auditory power,max,incorrect,accuracy,500pre,source,alpha,-0.130835627606996
sub002,open,auditory power,max,correct_e,accuracy_e,500pre,source,alpha,-0.334219188758337
sub002,open,auditory power,max,incorrect_e,accuracy_e,500pre,source,alpha,-0.130835627606996
sub002,open,auditory power,max,fast,rt,500pre,source,alpha,-0.275394008819912
sub002,open,auditory power,max,slow,rt,500pre,source,alpha,-0.0280083080601021
sub002,open,somato lateralisation index,max,correct,accuracy,500pre,source,alpha,-0.00226228689954179
sub002,open,somato lateralisation index,max,incorrect,accuracy,500pre,source,alpha,0.079038605542118
sub002,open,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,-0.0483798749911453
sub002,open,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,0.079038605542118
sub002,open,somato lateralisation index,max,fast,rt,500pre,source,alpha,-0.017958684592223
sub002,open,somato lateralisation index,max,slow,rt,500pre,source,alpha,0.0150847149566322
sub002,open,somatovisual balance,max-Brodmann,correct,accuracy,500pre,source,alpha,0.830176225850955
sub002,open,somatovisual balance,max-Brodmann,incorrect,accuracy,500pre,source,alpha,0.786996989803578
sub002,open,somatovisual balance,max-Brodmann,correct_e,accuracy_e,500pre,source,alpha,0.830108527504485
sub002,open,somatovisual balance,max-Brodmann,incorrect_e,accuracy_e,500pre,source,alpha,0.786996989803578
sub002,open,somatovisual balance,max-Brodmann,fast,rt,500pre,source,alpha,0.852870118246132
sub002,open,somatovisual balance,max-Brodmann,slow,rt,500pre,source,alpha,0.787603286087514
sub002,open,auditory lateralisation index,max,correct,accuracy,500pre,source,alpha,0.0855324209160437
sub002,open,auditory lateralisation index,max,incorrect,accuracy,500pre,source,alpha,-0.268011616753633
