sub,eyes,measure,roi,cond,compare,value
sub006,open,visual power,v1,correct_e,accuracy_e,0.100796005080233
sub006,open,visual power,v1,incorrect_e,accuracy_e,0.288368081263285
sub006,open,visual power,v1,fast,rt,0.415164631195153
sub006,open,visual power,v1,slow,rt,0.640075817425758
sub006,open,somato lateralisation index,max,correct,accuracy,0.105040590774998
sub006,open,somato lateralisation index,max,incorrect,accuracy,0.196580259989556
sub006,open,somato lateralisation index,max,correct_e,accuracy_e,0.110565900683825
sub006,open,somato lateralisation index,max,incorrect_e,accuracy_e,0.196580259989556
sub006,open,somato lateralisation index,max,fast,rt,0.0984008775656845
sub006,open,somato lateralisation index,max,slow,rt,0.0841090341430289
sub006,open,absolute,v1,correct,accuracy,3.37205726988706
sub006,open,absolute,v1,incorrect,accuracy,3.36861306585983
sub006,open,absolute,v1,correct_e,accuracy_e,3.30254965971437
sub006,open,absolute,v1,incorrect_e,accuracy_e,3.36861306585983
sub006,open,absolute,v1,fast,rt,3.36961055975598
sub006,open,absolute,v1,slow,rt,3.37112281934656
sub006,closed,visual power,v1,correct,accuracy,0.0564690879812336
sub006,closed,visual power,v1,incorrect,accuracy,0.0702327913181204
sub006,closed,visual power,v1,correct_e,accuracy_e,0.0774884776431246
sub006,closed,visual power,v1,incorrect_e,accuracy_e,0.0702327913181204
sub006,closed,visual power,v1,fast,rt,-0.0671139118939744
sub006,closed,visual power,v1,slow,rt,0.177044386196154
sub006,closed,somato lateralisation index,max,correct,accuracy,0.143329957121322
sub006,closed,somato lateralisation index,max,incorrect,accuracy,0.210408937693959
sub006,closed,somato lateralisation index,max,correct_e,accuracy_e,0.242193391995662
sub006,closed,somato lateralisation index,max,incorrect_e,accuracy_e,0.210408937693959
sub006,closed,somato lateralisation index,max,fast,rt,0.150621779274011
sub006,closed,somato lateralisation index,max,slow,rt,0.16195460787631
sub006,closed,absolute,v1,correct,accuracy,3.33134616490439
sub006,closed,absolute,v1,incorrect,accuracy,3.35443839303102
sub006,closed,absolute,v1,correct_e,accuracy_e,3.61241001500777
sub006,closed,absolute,v1,incorrect_e,accuracy_e,3.35443839303102
sub006,closed,absolute,v1,fast,rt,3.58665550834011
sub006,closed,absolute,v1,slow,rt,3.05038129245526
sub007,open,visual power,v1,correct,accuracy,-0.421860773580182
sub007,open,visual power,v1,incorrect,accuracy,-0.386218338083884
sub007,open,visual power,v1,correct_e,accuracy_e,-0.400632138810781
sub007,open,visual power,v1,incorrect_e,accuracy_e,-0.386218338083884
sub007,open,visual power,v1,fast,rt,-0.465512916973027
sub007,open,visual power,v1,slow,rt,-0.362849841019486
sub007,open,somato lateralisation index,max,correct,accuracy,-0.0140895054450585
sub007,open,somato lateralisation index,max,incorrect,accuracy,-0.0717402278103744
sub007,open,somato lateralisation index,max,correct_e,accuracy_e,0.0441311642105054
sub007,open,somato lateralisation index,max,incorrect_e,accuracy_e,-0.0717402278103744
sub007,open,somato lateralisation index,max,fast,rt,-0.0326096903891656
sub007,open,somato lateralisation index,max,slow,rt,0.0174820249346908
sub007,open,absolute,v1,correct,accuracy,2.35998242602948
sub007,open,absolute,v1,incorrect,accuracy,2.41361411410194
sub007,open,absolute,v1,correct_e,accuracy_e,2.47781502837395
sub007,open,absolute,v1,incorrect_e,accuracy_e,2.41361411410194
sub007,open,absolute,v1,fast,rt,2.0508838352816
sub007,open,absolute,v1,slow,rt,2.55752291924541
sub007,closed,visual power,v1,correct,accuracy,-0.499287226850056
sub007,closed,visual power,v1,incorrect,accuracy,-0.446799083599266
sub007,closed,visual power,v1,correct_e,accuracy_e,-0.470154682772674
sub007,closed,visual power,v1,incorrect_e,accuracy_e,-0.446799083599266
sub007,closed,visual power,v1,fast,rt,-0.51715487048434
sub007,closed,visual power,v1,slow,rt,-0.491228474573568
sub007,closed,somato lateralisation index,max,correct,accuracy,0.121875156104048
sub007,closed,somato lateralisation index,max,incorrect,accuracy,0.00815300585444046
sub007,closed,somato lateralisation index,max,correct_e,accuracy_e,0.0934008867691096
sub007,closed,somato lateralisation index,max,incorrect_e,accuracy_e,0.00815300585444046
sub007,closed,somato lateralisation index,max,fast,rt,0.0557036472956105
sub007,closed,somato lateralisation index,max,slow,rt,0.140887947648339
sub007,closed,absolute,v1,correct,accuracy,2.51703514701739
sub007,closed,absolute,v1,incorrect,accuracy,2.40250919692575
sub007,closed,absolute,v1,correct_e,accuracy_e,2.73256382796701
sub007,closed,absolute,v1,incorrect_e,accuracy_e,2.40250919692575
sub007,closed,absolute,v1,fast,rt,2.58395190936634
sub007,closed,absolute,v1,slow,rt,2.5134669615447
sub008,open,visual power,v1,correct,accuracy,0.130585783067878
sub008,open,visual power,v1,incorrect,accuracy,-0.145514775205982
sub008,open,visual power,v1,correct_e,accuracy_e,0.315398427211784
sub008,open,visual power,v1,incorrect_e,accuracy_e,-0.145514775205982
sub008,open,visual power,v1,fast,rt,-0.0624196335065566
sub008,open,visual power,v1,slow,rt,0.417152351721442
sub008,open,somato lateralisation index,max,correct,accuracy,0.0456451010792349
sub008,open,somato lateralisation index,max,incorrect,accuracy,0.198838020843568
sub008,open,somato lateralisation index,max,correct_e,accuracy_e,0.0962095842299729
sub008,open,somato lateralisation index,max,incorrect_e,accuracy_e,0.198838020843568
sub008,open,somato lateralisation index,max,fast,rt,0.113993253152412
sub008,open,somato lateralisation index,max,slow,rt,-0.0163623413682072
sub008,open,absolute,v1,correct,accuracy,3.37459699983352
sub008,open,absolute,v1,incorrect,accuracy,3.27205995382966
sub008,open,absolute,v1,correct_e,accuracy_e,3.83141227833262
sub008,open,absolute,v1,incorrect_e,accuracy_e,3.27205995382966
sub008,open,absolute,v1,fast,rt,3.36021280929583
sub008,open,absolute,v1,slow,rt,3.36837175168038
sub008,closed,visual power,v1,correct,accuracy,-0.201280070816227
sub008,closed,visual power,v1,incorrect,accuracy,-0.462195741074989
sub008,closed,visual power,v1,correct_e,accuracy_e,-0.125144373470357
sub008,closed,visual power,v1,incorrect_e,accuracy_e,-0.462195741074989
sub008,closed,visual power,v1,fast,rt,-0.200463300520363
sub008,closed,visual power,v1,slow,rt,-0.223965747186663
sub008,closed,somato lateralisation index,max,correct,accuracy,-0.00571908917527947
sub008,closed,somato lateralisation index,max,incorrect,accuracy,-0.0368469693880051
sub008,closed,somato lateralisation index,max,correct_e,accuracy_e,0.136570041560776
sub008,closed,somato lateralisation index,max,incorrect_e,accuracy_e,-0.0368469693880051
sub008,closed,somato lateralisation index,max,fast,rt,-0.0223203800475081
sub008,closed,somato lateralisation index,max,slow,rt,-0.00536375244626377
sub008,closed,absolute,v1,correct,accuracy,3.40224149713345
sub008,closed,absolute,v1,incorrect,accuracy,3.45479649333546
sub008,closed,absolute,v1,correct_e,accuracy_e,3.19551196604719
sub008,closed,absolute,v1,incorrect_e,accuracy_e,3.45479649333546
sub008,closed,absolute,v1,fast,rt,3.46101712936482
sub008,closed,absolute,v1,slow,rt,3.36491420237387
sub009,open,visual power,v1,correct,accuracy,-0.068255971359051
sub009,open,visual power,v1,incorrect,accuracy,-0.159692451007367
sub009,open,visual power,v1,correct_e,accuracy_e,-0.0196571691739416
sub009,open,visual power,v1,incorrect_e,accuracy_e,-0.159692451007367
sub009,open,visual power,v1,fast,rt,-0.159837826399165
sub009,open,visual power,v1,slow,rt,-0.00659510839240838
sub009,open,somato lateralisation index,max,correct,accuracy,0.142744686144908
sub009,open,somato lateralisation index,max,incorrect,accuracy,0.371775607356203
sub009,open,somato lateralisation index,max,correct_e,accuracy_e,0.252420832317824
sub009,open,somato lateralisation index,max,incorrect_e,accuracy_e,0.371775607356203
sub009,open,somato lateralisation index,max,fast,rt,0.173639778910713
sub009,open,somato lateralisation index,max,slow,rt,0.104574125658927
sub009,open,absolute,v1,correct,accuracy,4.70839316947876
sub009,open,absolute,v1,incorrect,accuracy,4.7800908070755
sub009,open,absolute,v1,correct_e,accuracy_e,4.71416805057152
sub009,open,absolute,v1,incorrect_e,accuracy_e,4.7800908070755
sub009,open,absolute,v1,fast,rt,4.86985710987226
sub009,open,absolute,v1,slow,rt,4.54567501012985
sub009,closed,visual power,v1,correct,accuracy,-0.0673147246599926
sub009,closed,visual power,v1,incorrect,accuracy,-0.0483159285399389
sub009,closed,visual power,v1,correct_e,accuracy_e,0.0774999691168492
sub009,closed,visual power,v1,incorrect_e,accuracy_e,-0.0483159285399389
sub009,closed,visual power,v1,fast,rt,-0.128903862324097
sub009,closed,visual power,v1,slow,rt,-0.0073312201660797
sub009,closed,somato lateralisation index,max,correct,accuracy,0.164804909153463
sub009,closed,somato lateralisation index,max,incorrect,accuracy,0.0620142790444136
sub009,closed,somato lateralisation index,max,correct_e,accuracy_e,0.287116386598389
sub009,closed,somato lateralisation index,max,incorrect_e,accuracy_e,0.0620142790444136
