suj,win,cue,bin,rt,corr
sub008,preCue1,pre,b5,1.17178809642792,0.823529411764706
sub008,preCue1,retro,b1,1.26133108139038,0.942857142857143
sub008,preCue1,retro,b2,1.14020800590515,0.942857142857143
sub008,preCue1,retro,b3,1.08965992927551,0.942857142857143
sub008,preCue1,retro,b4,1.05286908149719,0.942857142857143
sub008,preCue1,retro,b5,0.943804025650024,0.885714285714286
sub008,preTarget,all,b1,1.09158277511597,0.91304347826087
sub008,preTarget,all,b2,1.03847098350525,0.971014492753623
sub008,preTarget,all,b3,1.13883399963379,0.91304347826087
sub008,preTarget,all,b4,1.41329598426819,0.91304347826087
sub008,preTarget,all,b5,1.15404510498047,0.884057971014493
sub008,preTarget,pre,b1,1.2098081111908,0.882352941176471
sub008,preTarget,pre,b2,1.23066842556,0.911764705882353
sub008,preTarget,pre,b3,1.18655800819397,0.970588235294118
sub008,preTarget,pre,b4,1.47507607936859,0.823529411764706
sub008,preTarget,pre,b5,1.28321599960327,0.941176470588235
sub008,preTarget,retro,b1,0.910360097885132,0.971428571428571
sub008,preTarget,retro,b2,0.919039011001587,0.971428571428571
sub008,preTarget,retro,b3,1.17183089256287,0.942857142857143
sub008,preTarget,retro,b4,1.19118905067444,0.942857142857143
sub008,preTarget,retro,b5,1.15404510498047,0.828571428571429
sub008,preCue2,all,b1,1.14419984817505,0.898550724637681
sub008,preCue2,all,b2,1.27138996124268,0.927536231884058
sub008,preCue2,all,b3,1.14016795158386,0.927536231884058
sub008,preCue2,all,b4,1.14020800590515,0.942028985507246
sub008,preCue2,all,b5,1.2437059879303,0.898550724637681
sub008,preCue2,pre,b1,1.17969763278961,0.911764705882353
sub008,preCue2,pre,b2,1.26669859886169,0.852941176470588
sub008,preCue2,pre,b3,1.37161457538605,0.882352941176471
sub008,preCue2,pre,b4,1.33949446678162,0.941176470588235
sub008,preCue2,pre,b5,1.22583651542664,0.941176470588235
sub008,preCue2,retro,b1,1.13883399963379,0.914285714285714
sub008,preCue2,retro,b2,1.19118905067444,0.942857142857143
sub008,preCue2,retro,b3,0.990374088287354,1
sub008,preCue2,retro,b4,1.04073882102966,0.942857142857143
sub008,preCue2,retro,b5,1.2437059879303,0.857142857142857
sub008,preProbe,all,b1,1.14419984817505,0.884057971014493
sub008,preProbe,all,b2,1.11108088493347,0.956521739130435
sub008,preProbe,all,b3,1.15404510498047,0.927536231884058
sub008,preProbe,all,b4,1.21203708648682,0.956521739130435
sub008,preProbe,all,b5,1.35183906555176,0.869565217391304
sub008,preProbe,pre,b1,1.15125751495361,0.852941176470588
sub008,preProbe,pre,b2,1.12518656253815,0.911764705882353
sub008,preProbe,pre,b3,1.45903253555298,0.911764705882353
sub008,preProbe,pre,b4,1.19136893749237,0.941176470588235
sub008,preProbe,pre,b5,1.58662295341492,0.911764705882353
sub008,preProbe,retro,b1,1.01326608657837,0.942857142857143
sub008,preProbe,retro,b2,0.919039011001587,0.971428571428571
sub008,preProbe,retro,b3,1.03006911277771,0.942857142857143
sub008,preProbe,retro,b4,1.26133108139038,0.942857142857143
sub008,preProbe,retro,b5,1.13883399963379,0.857142857142857
sub009,preCue1,all,b1,1.50227797031403,0.723684210526316
sub009,preCue1,all,b2,1.86263048648834,0.815789473684211
sub009,preCue1,all,b3,1.9452645778656,0.736842105263158
sub009,preCue1,all,b4,1.8456449508667,0.710526315789474
